scientificName,year,lon,lat,presence,row_code
Ateles chamek,2020,-70.222078,-11.050518,1,1
Ateles chamek,2020,-73.200430,-4.267277,1,2
Ateles chamek,2020,-73.059279,-3.827332,1,3
Ateles chamek,2020,-54.868017,-12.205329,1,4
Ateles chamek,2020,-56.933742,-10.237324,1,5
Ateles chamek,2020,-55.842616,-9.622953,1,6
Ateles chamek,2020,-73.557752,-13.083471,1,7
Ateles chamek,2020,-61.118139,-13.581738,1,8
Ateles chamek,2020,-61.582808,-11.520709,1,9
Ateles chamek,2019,-71.423561,-11.988649,1,10
Ateles chamek,2019,-71.515161,-11.904187,1,11
Ateles chamek,2019,-70.072047,-12.430726,1,12
Ateles chamek,2019,-71.516563,-11.958409,1,13
Ateles chamek,2019,-73.527862,-13.019904,1,14
Ateles chamek,2019,-69.906627,-9.389108,1,15
Ateles chamek,2019,-73.412563,-4.471144,1,16
Ateles chamek,2019,-71.697355,-12.003307,1,17
Ateles chamek,2019,-70.051027,-12.492332,1,18
Ateles chamek,2019,-75.591907,-5.249159,1,19
Ateles chamek,2019,-59.041654,-8.866076,1,20
Ateles chamek,2019,-73.784331,-7.407326,1,21
Ateles chamek,2018,-71.182097,-11.944976,1,22
Ateles chamek,2018,-69.621189,-13.117849,1,23
Ateles chamek,2018,-70.160411,-12.402140,1,24
Ateles chamek,2018,-71.210291,-12.005621,1,25
Ateles chamek,2018,-71.146425,-12.120160,1,26
Ateles chamek,2018,-71.261475,-12.191034,1,27
Ateles chamek,2018,-65.077403,-17.482789,1,28
Ateles chamek,2018,-70.081492,-12.581433,1,29
Ateles chamek,2018,-56.347431,-9.756327,1,30
Ateles chamek,2018,-56.611519,-13.498476,1,31
Ateles chamek,2018,-54.876277,-9.572250,1,32
Ateles chamek,2018,-71.386076,-12.018046,1,33
Ateles chamek,2018,-69.785937,-13.155969,1,34
Ateles chamek,2018,-69.738339,-13.019584,1,35
Ateles chamek,2018,-69.606673,-13.131691,1,36
Ateles chamek,2018,-70.110391,-12.481599,1,37
Ateles chamek,2017,-68.812891,-12.445230,1,38
Ateles chamek,2017,-62.667896,-16.046301,1,39
Ateles chamek,2017,-69.786802,-13.055872,1,40
Ateles chamek,2017,-69.734468,-13.086252,1,41
Ateles chamek,2017,-69.418493,-12.018899,1,42
Ateles chamek,2017,-69.505496,-12.002541,1,43
Ateles chamek,2017,-69.544888,-12.120382,1,44
Ateles chamek,2017,-69.405489,-12.061662,1,45
Ateles chamek,2017,-69.520816,-12.063706,1,46
Ateles chamek,2017,-69.800400,-12.629031,1,47
Ateles chamek,2017,-71.593858,-11.996286,1,48
Ateles chamek,2017,-71.160345,-12.346296,1,49
Ateles chamek,2017,-70.831316,-12.273955,1,50
Ateles chamek,2017,-70.847298,-12.016506,1,51
Ateles chamek,2017,-69.067746,-12.836844,1,52
Ateles chamek,2016,-71.033128,-12.404882,1,53
Ateles chamek,2016,-73.656364,-4.743266,1,54
Ateles chamek,2016,-66.773925,-14.050046,1,55
Ateles chamek,2016,-70.034784,-12.460889,1,56
Ateles chamek,2016,-70.094335,-12.580785,1,57
Ateles chamek,2016,-70.098217,-12.537620,1,58
Ateles chamek,2016,-70.120437,-12.555366,1,59
Ateles chamek,2016,-70.022722,-12.502556,1,60
Ateles chamek,2016,-70.133902,-12.417781,1,61
Ateles chamek,2016,-71.386763,-11.946372,1,62
Ateles chamek,2016,-58.536944,-9.000278,1,63
Ateles chamek,2015,-73.434231,-4.520213,1,64
Ateles chamek,2015,-74.626989,-11.507395,1,65
Ateles chamek,2015,-71.325579,-12.146204,1,66
Ateles chamek,2015,-65.095556,-9.827500,1,67
Ateles chamek,2015,-62.157539,-9.182293,1,68
Ateles chamek,2014,-56.052866,-9.860622,1,69
Ateles chamek,2014,-61.686091,-9.355545,1,70
Ateles chamek,2014,-65.422883,-16.810457,1,71
Ateles chamek,2014,-67.397003,-16.056372,1,72
Ateles chamek,2014,-73.537107,-4.787791,1,73
Ateles chamek,2014,-69.718489,-12.144120,1,74
Ateles chamek,2014,-69.732401,-12.167778,1,75
Ateles chamek,2013,-73.232951,-3.977417,1,76
Ateles chamek,2013,-75.564592,-1.890889,1,77
Ateles chamek,2013,-75.399061,-2.001363,1,78
