system:index,bio10_temp_warmest_qt,bio13_precip_wettest_month,cmi_min,presence,row_code,scientificName,year,.geo
00000000000000000087,2959.0,386.29634353827635,-354.27385892116183,0,136,Sturnira tildae,2002,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-59.92120455189645,5.326567183252341],[-59.91222593088218,5.326567183252341],[-59.91222593088218,5.335564320119831],[-59.92120455189645,5.335564320119831],[-59.92120455189645,5.326567183252341]]]}"
00000000000000000077,2909.5967078189296,386.4032318994341,249.917695473251,0,120,Marmosops noctivagus,2003,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-67.87276714733544,-16.19533310126369],[-67.86345814925555,-16.19533310126369],[-67.86345814925555,-16.18633596444829],[-67.87276714733544,-16.18633596444829],[-67.87276714733544,-16.19533310126369]]]}"
0000000000000000008d,2987.9211618257264,359.8242095060863,561.0248962655602,0,142,Phyllostomus elongatus,2003,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-71.41669082849043,-2.865532744481049],[-71.40773988634828,-2.865532744481049],[-71.40773988634828,-2.856535607633011],[-71.41669082849043,-2.856535607633011],[-71.41669082849043,-2.865532744481049]]]}"
00000000000000000064,2987.5578512396696,290.2469085188937,-844.7644628099174,0,101,Sphaeronycteris toxophyllum,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.81058252122317,-11.970633612904948],[-68.80144416089121,-11.970633612904948],[-68.80144416089121,-11.9616364760789],[-68.81058252122317,-11.9616364760789],[-68.81058252122317,-11.970633612904948]]]}"
00000000000000000095,2938.8630705394194,392.5397109668779,-347.72199170124486,0,150,Hylaeamys yunganus,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-59.821600068832645,5.110764528670291],[-59.81262453868891,5.110764528670291],[-59.81262453868891,5.119761665537266],[-59.821600068832645,5.119761665537266],[-59.821600068832645,5.110764528670291]]]}"
000000000000000000d8,2884.597510373444,486.9088615955654,648.8174273858922,0,217,Philander andersoni,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.63308436040727,1.898664462131354],[-75.62413964207013,1.898664462131354],[-75.62413964207013,1.9076615989906878],[-75.63308436040727,1.9076615989906878],[-75.63308436040727,1.898664462131354]]]}"
000000000000000000e7,2985.6125,584.002473449707,-163.5625,0,232,Mesophylla macconnelli,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.59158727145376,1.6081674058032043],[-75.58264394482745,1.6081674058032043],[-75.58264394482745,1.6171645426618488],[-75.59158727145376,1.6171645426618488],[-75.59158727145376,1.6081674058032043]]]}"
0000000000000000013e,2949.8796680497926,382.5113924271833,-366.56016597510376,0,319,Rhipidomys macconnelli,2004,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-59.821600126965464,5.1190629157307335],[-59.81262448035977,5.1190629157307335],[-59.81262448035977,5.128060052597729],[-59.821600126965464,5.128060052597729],[-59.821600126965464,5.1190629157307335]]]}"
00000000000000000097,2989.9135802469136,338.40412017445504,-890.7160493827162,0,152,Saimiri boliviensis,2005,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-68.81059126005225,-12.476933323815096],[-68.80143539511153,-12.476933323815096],[-68.80143539511153,-12.467936186990304],[-68.81059126005225,-12.467936186990304],[-68.81059126005225,-12.476933323815096]]]}"
0000000000000000009c,2977.358333333333,381.4880138397217,-787.1916666666667,0,157,Marmosa murina,2005,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-54.59259751609149,4.81196462618065],[-54.58362605203363,4.81196462618065],[-54.58362605203363,4.820961763046911],[-54.59259751609149,4.820961763046911],[-54.59259751609149,4.81196462618065]]]}"
