system:index,area,class,row_code,year,.geo
0_00000000000000000087_0_0,0.9780731916896406,3,136,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000077_0_0,0.96426128320313,3,120,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d_0_0,0.4920246592249245,3,142,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d_0_1,0.3362100665714033,6,142,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008d_0_2,0.1406565030496036,33,142,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064_0_0,0.8729027513674248,3,101,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064_0_1,0.11781489542547487,6,101,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_0,0.9811737806662141,3,150,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d8_0_0,0.9808368951784667,3,217,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e7_0_0,0.5245890542219567,3,232,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e7_0_1,0.457093778352147,14,232,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013e_0_0,0.9683697383530556,3,319,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097_0_0,0.06879469121883615,3,152,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097_0_1,0.6062042414467016,6,152,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097_0_2,0.31581854835420425,33,152,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009c_0_0,0.967310204449827,3,157,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000010a_0_0,0.9717410842895491,3,267,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015e_0_0,0.9789854025146412,3,351,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b8_0_0,0.012515380004882809,0,185,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b8_0_1,0.8582188046042086,3,185,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b8_0_2,0.10787418307746442,14,185,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d2_0_0,0.9706593554077187,3,211,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000011a_0_0,0.9848942436602374,3,283,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_0,0.20716549902654885,0,309,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_1,0.4336574177095308,3,309,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000134_0_2,0.3495240120818502,14,309,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013f_0_0,0.6779310294845423,3,320,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013f_0_1,0.29929932185824465,14,320,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075_0_0,0.009699607543945311,0,118,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075_0_1,0.1209438860310871,3,118,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000075_0_2,0.8479899947828066,14,118,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009a_0_0,0.9662592469420259,3,155,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a6_0_0,0.9712156366459844,3,167,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a6_0_1,0.0044283193692076445,14,167,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ca_0_0,0.975330657196408,3,203,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000015b_0_0,0.989514273986822,3,348,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000160_0_0,0.9640475467890665,3,353,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016e_0_0,0.9517415777990025,3,367,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016e_0_1,0.038579268423043045,14,367,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bf_0_0,0.554346293147307,3,192,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
