scientificName,year,lon,lat,presence,row_code,species
Atelocynus microtis,2022,-77.7725170,-1.7192470,1,1,Atelocynus microtis
Atelocynus microtis,2020,-68.8919200,-12.2988660,1,2,Atelocynus microtis
Atelocynus microtis,2020,-69.0709680,-12.2960090,1,3,Atelocynus microtis
Atelocynus microtis,2020,-69.1565900,-8.5461400,1,4,Atelocynus microtis
Atelocynus microtis,2019,-76.3359240,-0.5882340,1,5,Atelocynus microtis
Atelocynus microtis,2019,-72.4393400,-0.5518800,1,6,Atelocynus microtis
Atelocynus microtis,2019,-72.4327600,-0.5485900,1,7,Atelocynus microtis
Atelocynus microtis,2018,-74.7630600,1.3713900,1,8,Atelocynus microtis
Atelocynus microtis,2018,-69.6013500,-2.1983100,1,9,Atelocynus microtis
Atelocynus microtis,2018,-74.7505600,1.3711100,1,10,Atelocynus microtis
Atelocynus microtis,2018,-72.5688240,-3.5184240,1,11,Atelocynus microtis
Atelocynus microtis,2018,-74.6108600,0.2285500,1,12,Atelocynus microtis
Atelocynus microtis,2018,-74.6458100,0.2532500,1,13,Atelocynus microtis
Atelocynus microtis,2018,-74.6823300,0.2910600,1,14,Atelocynus microtis
Atelocynus microtis,2018,-74.6837500,0.3105800,1,15,Atelocynus microtis
Atelocynus microtis,2018,-74.6947600,0.1828300,1,16,Atelocynus microtis
Atelocynus microtis,2018,-74.6635800,0.1817500,1,17,Atelocynus microtis
Atelocynus microtis,2018,-74.6820000,0.2731900,1,18,Atelocynus microtis
Atelocynus microtis,2018,-74.6151600,0.2756100,1,19,Atelocynus microtis
Atelocynus microtis,2018,-74.6209600,0.2885600,1,20,Atelocynus microtis
Atelocynus microtis,2018,-74.6116000,0.2854700,1,21,Atelocynus microtis
Atelocynus microtis,2018,-74.6669700,0.2932800,1,22,Atelocynus microtis
Atelocynus microtis,2018,-69.7112310,-13.0631420,1,23,Atelocynus microtis
Atelocynus microtis,2018,-69.7161060,-13.0684920,1,24,Atelocynus microtis
Atelocynus microtis,2018,-69.6619050,-13.1412990,1,25,Atelocynus microtis
Atelocynus microtis,2018,-69.7226750,-13.0939820,1,26,Atelocynus microtis
Atelocynus microtis,2018,-69.7160990,-13.1175540,1,27,Atelocynus microtis
Atelocynus microtis,2018,-69.7908920,-13.0499640,1,28,Atelocynus microtis
Atelocynus microtis,2018,-69.7555010,-13.0823260,1,29,Atelocynus microtis
Atelocynus microtis,2018,-69.7023700,-13.0939180,1,30,Atelocynus microtis
Atelocynus microtis,2018,-69.7807800,-13.1526300,1,31,Atelocynus microtis
Atelocynus microtis,2018,-69.6627610,-13.0274470,1,32,Atelocynus microtis
Atelocynus microtis,2018,-69.7992700,-13.1121120,1,33,Atelocynus microtis
Atelocynus microtis,2018,-69.6525030,-13.1943550,1,34,Atelocynus microtis
Atelocynus microtis,2018,-69.7511350,-13.0637290,1,35,Atelocynus microtis
Atelocynus microtis,2017,-76.7758500,0.0864900,1,36,Atelocynus microtis
Atelocynus microtis,2017,-70.0539500,-3.9433900,1,37,Atelocynus microtis
Atelocynus microtis,2017,-72.4434110,-3.3855080,1,38,Atelocynus microtis
Atelocynus microtis,2016,-73.7930000,2.2610000,1,39,Atelocynus microtis
Atelocynus microtis,2016,-73.7857610,2.2601750,1,40,Atelocynus microtis
Atelocynus microtis,2016,-73.7757590,2.2405710,1,41,Atelocynus microtis
Atelocynus microtis,2011,-76.4529310,-0.5565780,1,42,Atelocynus microtis
Atelocynus microtis,2011,-67.8509440,-6.3971820,1,43,Atelocynus microtis
Atelocynus microtis,2009,-73.0187000,-2.8850000,1,44,Atelocynus microtis
