system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,species,year,.geo
000000000000000000a0,1576.1866741415895,24.331642260767303,0,161,Akodon dayi,background species,2018,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.20441007626653,-15.840986176951468],[-63.195117586928156,-15.840986176951468],[-63.195117586928156,-15.831989040135152],[-63.20441007626653,-15.831989040135152],[-63.20441007626653,-15.840986176951468]]]}"
000000000000000000a7,1853.8509722423162,24.690407960993763,0,168,Akodon dayi,background species,1985,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-64.2044080785123,-15.840986176951468],[-64.19511558917392,-15.840986176951468],[-64.19511558917392,-15.831989040135152],[-64.2044080785123,-15.831989040135152],[-64.2044080785123,-15.840986176951468]]]}"
00000000000000000049,2231.2808437743124,26.626166585075413,0,74,Nasua nasua,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-51.20423568720044,0.15901307264936992],[-51.1952958662143,0.15901307264936992],[-51.1952958662143,0.16801020950457987],[-51.20423568720044,0.16801020950457987],[-51.20423568720044,0.15901307264936992]]]}"
00000000000000000050,2216.770432848158,24.11721908600993,0,81,Nasua nasua,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.20423279570213,0.15901307264936992],[-77.19529297471597,0.15901307264936992],[-77.19529297471597,0.16801020950457987],[-77.20423279570213,0.16801020950457987],[-77.20423279570213,0.15901307264936992]]]}"
00000000000000000099,1181.6903378825543,15.505454157994798,0,154,Nasua nasua,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-79.20424326758342,-3.840983395425284],[-79.19528340384441,-3.840983395425284],[-79.19528340384441,-3.831986258579565],[-79.20424326758342,-3.831986258579565],[-79.20424326758342,-3.840983395425284]]]}"
00000000000000000097,2178.3948898631998,26.15305237354579,0,152,Mico rondoni,background species,2017,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-62.204289602787654,-8.840982324844253],[-62.19524243370343,-8.840982324844253],[-62.19524243370343,-8.831985188010536],[-62.204289602787654,-8.831985188010536],[-62.204289602787654,-8.840982324844253]]]}"
0000000000000000007f,2130.470370850622,25.950000762939453,0,128,Myotis simus,background species,2012,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.20427439036376,-7.840984322600899],[-75.19525033068194,-7.840984322600899],[-75.19525033068194,-7.831987185764762],[-75.20427439036376,-7.831987185764762],[-75.20427439036376,-7.840984322600899]]]}"
0000000000000000008f,2298.088058788252,18.438224958680973,0,144,Akodon mollis,background species,2021,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.20424071564256,-2.840985393181888],[-78.19528996433056,-2.840985393181888],[-78.19528996433056,-2.8319882563337915],[-78.20424071564256,-2.8319882563337915],[-78.20424071564256,-2.840985393181888]]]}"
000000000000000000a2,1689.6530297649795,0.457974006937555,0,163,Akodon mollis,background species,2022,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.20429937074806,-9.840984786188645],[-77.19522620261536,-9.840984786188645],[-77.19522620261536,-9.831987649357359],[-77.20429937074806,-9.831987649357359],[-77.20429937074806,-9.840984786188645]]]}"
000000000000000000bc,1203.709585102762,14.158592220163937,0,189,Aotus miconax,background species,2019,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.20428639108056,-8.840982324844253],[-77.19523922199635,-8.840982324844253],[-77.19523922199635,-8.831985188010535],[-77.20428639108056,-8.831985188010535],[-77.20428639108056,-8.840982324844253]]]}"
