system:index,area,class,row_code,year,.geo
0_000000000000000000a0_0_0,0.7300454942626937,3,161,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a0_0_1,0.1618491157226562,12,161,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a0_0_2,0.07403748144531253,14,161,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a7_0_0,0.1351603662109374,3,168,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a7_0_1,0.7765358400878881,6,168,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a7_0_2,0.05423588513183592,11,168,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_0,0.8463631484439696,3,74,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_1,0.010727656250000002,4,74,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_2,0.010692600978477329,11,74,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_3,0.0783084019004672,12,74,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000049_0_4,0.025820000323127278,14,74,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_0,0.9270484533212773,3,81,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000050_0_1,0.04128396274509807,14,81,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_0,0.10923999223249851,3,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_1,0.03178746749267578,12,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_2,0.006244156677246093,13,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_3,0.8355722248013375,14,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097_0_0,0.7491014538933247,3,152,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000097_0_1,0.224392905431411,33,152,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000007f_0_0,0.9789024743851014,3,128,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008f_0_0,0.842583733635397,3,144,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008f_0_1,0.13312770514634076,14,144,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a2_0_0,8.293540326286765E-4,25,163,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a2_0_1,0.018522237674010032,34,163,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bc_0_0,0.48028589305324143,3,189,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bc_0_1,0.43826619306856057,12,189,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bc_0_2,0.06997807225006698,25,189,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000059_0_0,0.004294915294692095,3,90,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000059_0_1,0.9865398785673227,14,90,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000078_0_0,0.9780595118401055,3,121,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4_0_0,0.19453938731833056,3,165,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4_0_1,0.13553121896374276,12,165,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4_0_2,0.6588210107534342,14,165,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056_0_0,0.020267097351074216,3,87,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056_0_1,0.2761714769107594,12,87,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056_0_2,0.29514171975528464,13,87,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000056_0_3,0.366311432028378,14,87,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_0,0.9767675755533854,3,150,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064_0_0,0.015636493225097657,3,101,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064_0_1,0.14007434327464394,11,101,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000064_0_2,0.8135730530108295,12,101,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000054_0_0,0.8401805487905466,3,85,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000054_0_1,0.13775772920137286,14,85,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a8_0_0,0.9337697811959057,3,169,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a8_0_1,0.03570293498535158,14,169,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a1_0_0,0.9694890885476507,3,162,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bd_0_0,0.9640553758772356,3,190,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_0,0.013221500566789217,3,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_1,0.13046852172301052,6,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_2,0.02918356070891736,11,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_3,0.7362632650342741,12,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_4,0.08189940330523321,33,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000ab_0_0,0.020267097351074216,3,172,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
