"","row_code","farming","forest_formation","flooded_forest","non_forested_natural","river_lake_ocean","grassland","other_non_vegetated","not_observed","wetland","urban","savannah_formation","rocky_outcrop","glacier"
"1",1,0.00473598546142578,0.968806857011272,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0.970494769158336,0,0,0,0,0,0,0,0,0,0,0
"3",3,0.00913713625266335,0.918146090647225,0.0602971068609391,0,0,0,0,0,0,0,0,0,0
"4",4,0,0.977988345093971,0,0,0,0,0,0,0,0,0,0,0
"5",5,0,0.963828742826314,0.0070813263908835,0,0,0,0,0,0,0,0,0,0
"6",6,0,0.923532036486729,0,0.0665654948997022,0,0,0,0,0,0,0,0,0
"7",7,0,0.951715897594109,0,0.0217795161632191,0,0,0,0,0,0,0,0,0
"8",8,0.799725356470991,0.171691571292109,0,0,0,0,0,0,0,0,0,0,0
"9",9,0,0.97843275169438,0,0,0,0,0,0,0,0,0,0,0
"10",10,0.942380973322223,0.0210626254561208,0,0,0,0,0,0,0,0,0,0,0
"11",11,0.0265266256159002,0,0.898013781965775,0,0.0472124615589488,0,0,0,0,0,0,0,0
"12",12,0,0.979834650666836,0,0,0,0,0,0,0,0,0,0,0
"13",13,0,0.972604067369169,0,0,0,0,0,0,0,0,0,0,0
"14",14,0,0.990126295042274,0,0,0,0,0,0,0,0,0,0,0
"15",15,0,0.966930630748797,0,0,0,0,0,0,0,0,0,0,0
"16",16,0.0675889708992862,0.195941143546266,0.396788450970013,0,0.318305821631817,0,0,0,0,0,0,0,0
"17",17,0.182280140446007,0.789865645194933,0,0,0,0,0,0,0,0,0,0,0
"18",18,0,0.968903992425412,0,0,0,0,0,0,0,0,0,0,0
"19",19,0,0.970519950726195,0,0,0,0,0,0,0,0,0,0,0
"20",20,0,0.965551266540285,0,0,0,0,0,0,0,0,0,0,0
"21",21,0,0.973064314528527,0,0,0,0,0,0,0,0,0,0,0
"22",22,0,0.977333653668094,0,0,0,0,0,0,0,0,0,0,0
"23",23,0,0.975345956844554,0,0,0,0,0,0,0,0,0,0,0
"24",24,0,0.977731025268551,0,0,0,0,0,0,0,0,0,0,0
"25",25,0,0.973561520814422,0,0,0,0,0,0,0,0,0,0,0
"26",26,0,0.978637030199242,0,0,0,0,0,0,0,0,0,0,0
"27",27,0,0.977541327514652,0,0,0,0,0,0,0,0,0,0,0
"28",28,0,0.976295248143098,0,0,0,0,0,0,0,0,0,0,0
"29",29,0,0.984156392065427,0,0,0,0,0,0,0,0,0,0,0
"30",30,0,0.988444006599459,0,0,0,0,0,0,0,0,0,0,0
"31",31,0,0.974153131762698,0,0,0,0,0,0,0,0,0,0,0
"32",32,0,0.940611389562228,0.0352302302919112,0,0,0,0,0,0,0,0,0,0
"33",33,0,0.967527253766469,0,0,0,0,0,0,0,0,0,0,0
"34",34,0,0.97724286236573,0,0,0,0,0,0,0,0,0,0,0
"35",35,0,0.989136048014322,0,0,0,0,0,0,0,0,0,0,0
"36",36,0.621027373037625,0.359045160003213,0,0,0,0,0,0,0,0,0,0,0
"37",37,0,0.970949210681865,0,0,0,0,0,0,0,0,0,0,0
"38",38,0,0.97861820869491,0,0,0.000892460388183594,0,0,0,0,0,0,0,0
"39",39,0.0276043762253379,0.328133466519507,0,0.302834229315044,0,0.316714148449032,0.00401984646606445,0,0,0,0,0,0
"40",40,0.0281986359598904,0.869587111448349,0,0.00802408242357223,0,0.0719558686461424,0,0,0,0,0,0,0
"41",41,0.163933277402196,0.802497150429394,0.0227011901564763,0,0.00535985192871094,0,0,0,0,0,0,0,0
"42",42,0,0.977073363361434,0,0,0,0,0,0,0,0,0,0,0
"43",43,0,0.978784954099172,0,0,0,0,0,0,0,0,0,0,0
"44",44,0,0.964494603400731,0,0,0,0,0,0,0,0,0,0,0
"45",45,0,0.980691534689506,0,0,0,0,0,0,0,0,0,0,0
"46",46,0,0.900465356444272,0,0,0.0845186641475575,0,0,0,0,0,0,0,0
"47",47,0,0.96659249414422,0,0,0,0,0,0,0,0,0,0,0
"48",48,0,0.971700725022262,0,0,0,0,0,0,0,0,0,0,0
"49",49,0,0.970764327748498,0,0,0,0,0,0,0,0,0,0,0
"50",50,0,0.985145201405726,0,0,0,0,0,0,0,0,0,0,0
"51",51,0,0.960687908845365,0,0,0.0242955026960349,0,0,0,0,0,0,0,0
"52",52,0.00509686178938323,0.891899480671367,0,0,0.0900975288797471,0,0.00678214284261068,0,0,0,0,0,0
"53",53,0.0326413185852051,0.606033163956334,0,0,0.225940699473422,0,0.109452094983106,0,0,0,0,0,0
