system:index,area,class,row_code,year,.geo
0_0000000000000000011d_0_0,0.01949261712646485,3,286,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000011d_0_1,0.8691913657226508,6,286,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000011d_0_2,0.0761979757080078,33,286,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000125_0_0,0.028919274733360145,3,294,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000125_0_1,0.5449114244801248,14,294,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000125_0_2,0.4133452138892076,24,294,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000125_0_3,0.003071882676068474,33,294,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013a_0_0,0.7483398239037596,3,315,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000013a_0_1,0.23490667417423025,14,315,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000150_0_0,0.9634484687861455,3,337,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000150_0_1,0.003830213828651577,14,337,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000172_0_0,0.9808646961322867,3,371,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001a9_0_0,0.9672584557693799,3,426,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c9_0_0,0.5884848795836221,3,458,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c9_0_1,0.3839884296597343,14,458,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001c9_0_2,0.017810549682617187,25,458,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_0,0.22358254286534965,3,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_1,0.5817838645500647,6,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_2,0.007324935682588464,11,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_3,0.02749235326980891,12,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_4,0.02227488874439913,14,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000019b_0_5,0.10769365454149428,33,412,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148_0_0,0.04111564935302733,3,329,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148_0_1,0.7928174612426772,14,329,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148_0_2,0.013407285644531244,24,329,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148_0_3,0.1260286068115234,33,329,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000157_0_0,0.024306838167078362,3,344,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000157_0_1,0.703729917547247,12,344,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000157_0_2,0.14335822085032754,13,344,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000157_0_3,0.012205110728544348,24,344,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000157_0_4,0.08497007779110181,25,344,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000129_0_0,0.6921490484008784,3,298,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000129_0_1,0.02586643316650391,6,298,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000129_0_2,0.2533120734863281,14,298,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e5_0_0,0.048249454895019556,3,230,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e5_0_1,0.08835209111830777,13,230,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e5_0_2,0.8329593243336423,14,230,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cc_0_0,0.024919082214355473,12,205,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cc_0_1,0.7754277816954366,13,205,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cc_0_2,0.18011190801307833,25,205,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000122_0_0,0.7299851142578101,12,291,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000122_0_1,0.011842464111328123,13,291,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000122_0_2,0.2351515076293947,25,291,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000182_0_0,0.03073082672119142,3,387,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000182_0_1,0.720941961960736,12,387,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000182_0_2,0.19850938920443653,14,387,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000182_0_3,0.023047638244628906,25,387,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000016a_0_0,0.9901278897975548,33,363,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c9_0_0,0.07490466538157745,3,202,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c9_0_1,0.7717280199649569,14,202,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c9_0_2,0.13920245745682064,24,202,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f9_0_0,0.9075075751306829,3,250,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f9_0_1,0.07220874304558246,14,250,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
