row_code,farming,flooded_forest,grassland,other_non_vegetated,urban,wetland,forest_formation,river_lake_ocean,not_observed,mangrove,non_forested_natural,savannah_formation,rocky_outcrop,mining
1,0.279044431,0.170369554,0.003557808,0.074794814,0.442461725,0.00889446,0,0,0,0,0,0,0,0
2,0,0.901284949,0,0,0,0.017023723,0.057382659,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.761868061,0.228424613,0,0,0,0,0,0
4,0.35050616,0.490579061,0,0.017784696,0.085902622,0.06147291,0,0,0,0,0,0,0,0
5,0,0,0,0,0.969275433,0,0,0,0,0,0,0,0,0
6,0.064970192,0.727524932,0,0,0.002078914,0.06823705,0.116328585,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.990208164,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0.964265245,0,0,0,0,0,0,0
9,0,0.727945704,0,0,0,0.021168327,0.118100243,0.108885273,0,0,0,0,0,0
10,0.135135179,0.726291398,0,0.033333334,0.008735446,0.009342093,0,0.070214634,0,0,0,0,0,0
11,0.135920205,0,0.019968605,0,0.156602775,0.001017817,0.663804048,0.002678196,0,0,0,0,0,0
12,0.011456622,0.16057671,0,0.012177995,0,0.069422549,0.723768473,0,0,0,0,0,0,0
13,0.133160171,0.110899328,0.010442413,0.076010687,0.541949809,0.06581118,0,0.026955694,0.004452151,0,0,0,0,0
14,0.232067298,0,0.031697944,0,0.084977477,0.008521656,0.625898135,0,0,0,0,0,0,0
15,0.06122285,0.062923154,0,0.004008613,0.016115436,0.010511486,0.817276586,0.0070455,0,0,0,0,0,0
16,0,0,0,0,0,0,0.967010806,0.000817459,0,0,0,0,0,0
17,0.168342944,0.018518124,0.004937082,0.18313813,0.601820003,0.007603792,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0.968370743,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0.969595427,0,0,0,0,0,0,0
20,0.315022967,0,0.042203693,0,0,0.002110187,0.521357796,0.08375785,0.00089277,0,0,0,0,0
21,0,0,0,0,0,0,0.953372448,0.027945547,0,0,0,0,0,0
22,0,0,0.006235123,0,0,0,0.963445291,0,0,0,0,0,0,0
23,0.497190393,0.447633231,0,0.027473701,0.015530704,0.008539629,0,0,0,0,0,0,0,0
24,0.337809115,0.243043665,0,0.065484509,0.28974513,0.004447238,0.028785893,0,0,0,0,0,0,0
25,0.532693792,0.360191429,0.007458716,0.015478821,0.006941255,0.060776839,0,0,0,0,0,0,0,0
26,0.302436857,0,0.039746556,0,0,0.002110187,0.539483585,0.092431175,0.00089277,0,0,0,0,0
27,0.064118435,0.250226761,0,0.037711099,0.521914841,0.014253022,0.087462221,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0.963663164,0,0,0,0,0,0,0
29,0.037529991,0.077101415,0,0.00612906,0.040605336,0.000890805,0.820562885,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0.969655166,0,0,0,0,0,0,0
31,0.071740706,0.76674261,0.00213766,0,0,0.072388535,0.056384713,0,0,0,0,0,0,0
32,0.068946112,0.613737293,0,0,0,0.041912676,0,0,0,0.256496199,0,0,0,0
33,0.06595806,0.228743068,0.024593359,0.00133485,0,0.205472791,0.440060765,0,0,0,0,0,0,0
34,0.106725205,0.524751961,0.024213039,0,0.001190671,0.103640695,0.247977686,0,0,0,0,0,0,0
35,0.304719872,0.464457327,0.040195953,0.024554198,0,0.131634068,0,0.052818612,0,0,0,0,0,0
36,0.206948162,0.73781331,0,0.008410122,0.026928545,0,0,0,0,0,0,0,0,0
37,0,0,0.011748922,0,0,0,0.969702428,0,0,0,0,0,0,0
38,0,0,0,0,0.03373932,0,0.943273655,0,0,0,0,0,0,0
39,0.567477812,0.331769837,0,0.013119565,0.005336779,0.056925986,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0.977100864,0,0,0,0,0,0,0
41,0.065504411,0.889482334,0,0,0,0.016156869,0.004350129,0,0,0,0,0,0,0
42,0.067811437,0.759666724,0,0.003622718,0,0.009704194,0,0.129146193,0,0.011475236,0,0,0,0
43,0.084968884,0,0,0,0.210109904,0.005761989,0.667650617,0,0.000892701,0,0,0,0,0
44,0.005790231,0.130867352,0,0.012876191,0.028262817,0.000890804,0.684385272,0.077095111,0,0,0,0,0,0
45,0,0,0,0,0,0,0.940344723,0.023824992,0,0,0,0,0,0
46,0,0,0.014260602,0.005972324,0,0,0.974565096,0.00979675,0,0,0,0,0,0
47,0,0,0,0,0,0,0.967636523,0,0,0,0,0,0,0
48,0.000674585,0,0.008418182,0,0,0,0.750079238,0.232996578,0,0,0,0,0,0
49,0.262303028,0.237696837,0.047400122,0,0,0.099910801,0.308468923,0,0,0.034476098,0,0,0,0
50,0.023657443,0,0,0,0.883890437,0,0.076085015,0,0,0,0,0,0,0
51,0.026699993,0,0.00722278,0,0.78569247,0.006623819,0.142218681,0,0,0,0,0,0,0
52,0,0,0,0,0.960832987,0,0.029323503,0,0,0,0,0,0,0
53,0.026699993,0,0.00722278,0,0.716289025,0.006735845,0.221847805,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0.9823903,0,0,0,0,0,0,0
55,0,0,0.012436542,0,0,0.401047978,0.561316618,0.01621328,0,0,0,0,0,0
56,0,0,0,0,0,0,0.977398397,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0.981087396,0,0,0,0,0,0,0
58,0.48268798,0.429066309,0,0.037528014,0.016418452,0.005782893,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0.978727636,0,0,0,0,0,0,0
60,0.06970379,0,0,0.093315382,0.64528246,0.002668482,0,0.159866006,0,0,0,0,0,0
61,0.043720863,0.907363367,0,0,0,0.027751603,0,0,0,0,0,0,0,0
62,0.157071231,0,0.017275672,0,0,0.000893039,0.796233208,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0.878982535,0.099789474,0,0,0,0,0,0
64,0.049819183,0,0.239497624,0,0.274041236,0,0.40082721,0,0,0,0,0,0,0
65,0,0.035813554,0,0.013106484,0.035489653,0.005812455,0,0.846859577,0.002785429,0.040275157,0,0,0,0
66,0,0,0,0,0,0,0.970398846,0,0,0,0,0,0,0
67,0.016194038,0,0.047431025,0.036515225,0,0.00524624,0.858119478,0.014962401,0,0,0,0,0,0
68,0.427532274,0.47354319,0,0.006522473,0.009621995,0.051063588,0,0.003315147,0,0,0,0,0,0
69,0,0,0.010699026,0,0,0,0.958740044,0,0,0,0,0,0,0
70,0.058385334,0.757760415,0,0,0,0.106447589,0,0,0,0.056164937,0,0,0,0
71,0.00821764,0.938369612,0,0,0,0.038245473,0,0,0,0,0,0,0,0
72,0.082262473,0.363900994,0.007123985,0,0,0.02541489,0.492343893,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0.970399208,0,0,0,0,0,0,0
74,0,0.142168025,0,0,0,0,0.836604311,0,0,0,0,0,0,0
75,0.052985946,0.126175969,0,0.004454202,0.043246186,0.003527012,0.512778159,0.229526202,0,0,0,0,0,0
76,0,0,0,0,0,0,0.971387404,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0.074657252,0.915567836,0,0,0,0,0,0
78,0.063548321,0,0,0,0.173601425,0.008034831,0.718752862,0.008278349,0,0,0,0,0,0
79,0.085051398,0.395585217,0.028498877,0.005788831,0.050682642,0,0.25244313,0.195201775,0,0,0,0,0,0
80,0.015825692,0,0.017367684,0,0.41584969,0,0.4529383,0.070200775,0,0,0,0,0,0
81,0.026862303,0,0.00722278,0,0.691573547,0.006735845,0.23802721,0,0,0,0,0,0,0
82,0.030886535,0.934181662,0,0,0,0.03922119,0,0,0,0,0,0,0,0
83,0.004166448,0,0,0,0.520555292,0,0.455470391,0,0,0,0,0,0,0
84,0.215497932,0.699639512,0,0.013343108,0.013899069,0.015381519,0.045576316,0,0,0,0,0,0,0
