"","scientificName","year","indicator","lon","lat"
"11033","Crypturellus cinereus",2021,TRUE,-69.14145,-12.536106
"11034","Crypturellus cinereus",2021,TRUE,-69.14145,-12.536106
"11041","Crypturellus cinereus",2021,TRUE,-69.044235,-12.532759
"11065","Crypturellus cinereus",2021,TRUE,-69.04949,-12.532361
"11068","Crypturellus cinereus",2021,TRUE,-69.049576,-12.530925
"11084","Crypturellus cinereus",2021,TRUE,-69.114655,-12.226011
"11103","Crypturellus cinereus",2021,TRUE,-69.19012,-12.633345
"11106","Crypturellus cinereus",2021,TRUE,-69.32262,-12.773013
"11107","Crypturellus cinereus",2021,TRUE,-69.182236,-12.634057
"11133","Crypturellus cinereus",2021,TRUE,-69.11454,-12.447138
"11135","Crypturellus cinereus",2021,TRUE,-69.14367,-12.490177
"11140","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11163","Crypturellus cinereus",2021,TRUE,-69.11701,-12.107287
"11180","Crypturellus cinereus",2021,TRUE,-69.14058,-12.590442
"11201","Crypturellus cinereus",2021,TRUE,-69.5352,-12.402173
"11202","Crypturellus cinereus",2021,TRUE,-69.13024,-12.565193
"11203","Crypturellus cinereus",2021,TRUE,-69.089035,-12.477251
"11206","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11214","Crypturellus cinereus",2021,TRUE,-69.32262,-12.773013
"11241","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11248","Crypturellus cinereus",2021,TRUE,-69.19012,-12.633345
"11251","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11254","Crypturellus cinereus",2021,TRUE,-69.27159,-12.430654
"11255","Crypturellus cinereus",2021,TRUE,-69.044235,-12.532759
"11257","Crypturellus cinereus",2021,TRUE,-70.32782,-12.961193
"11260","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11264","Crypturellus cinereus",2021,TRUE,-69.24187,-12.676415
"11272","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11285","Crypturellus cinereus",2021,TRUE,-70.27816,-12.846107
"11286","Crypturellus cinereus",2021,TRUE,-69.330124,-12.413429
"11289","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11291","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11307","Crypturellus cinereus",2021,TRUE,-69.091995,-12.538019
"11309","Crypturellus cinereus",2021,TRUE,-69.04949,-12.532361
"11324","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11353","Crypturellus cinereus",2021,TRUE,-69.330124,-12.413429
"11357","Crypturellus cinereus",2021,TRUE,-69.144,-12.49052
"11366","Crypturellus cinereus",2021,TRUE,-69.04454,-12.528606
"11367","Crypturellus cinereus",2021,TRUE,-69.049576,-12.530925
"11461","Crypturellus cinereus",2021,TRUE,-69.0752,-12.439267
"11724","Crypturellus obsoletus",2021,TRUE,-69.062096,-12.603406
"12002","Crypturellus undulatus",2022,TRUE,-69.179573,-12.65361
"12020","Crypturellus undulatus",2022,TRUE,-69.47487,-12.859887
"12023","Crypturellus undulatus",2022,TRUE,-69.493007,-12.860417
"12027","Crypturellus undulatus",2021,TRUE,-69.04305,-12.530376
"12032","Crypturellus undulatus",2021,TRUE,-69.187706,-12.627875
"12035","Crypturellus undulatus",2021,TRUE,-69.182236,-12.634057
"12047","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12056","Crypturellus undulatus",2021,TRUE,-69.211975,-12.648211
"12062","Crypturellus undulatus",2021,TRUE,-69.04454,-12.528606
"12073","Crypturellus undulatus",2021,TRUE,-69.47693,-12.399293
"12090","Crypturellus undulatus",2021,TRUE,-69.19194,-12.643478
"12091","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12096","Crypturellus undulatus",2021,TRUE,-69.114655,-12.226011
"12099","Crypturellus undulatus",2021,TRUE,-69.0448,-12.51909
"12101","Crypturellus undulatus",2021,TRUE,-69.182236,-12.634057
"12104","Crypturellus undulatus",2021,TRUE,-69.14851,-12.374024
"12124","Crypturellus undulatus",2021,TRUE,-69.11454,-12.447138
"12129","Crypturellus undulatus",2021,TRUE,-69.04305,-12.530376
"12130","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12134","Crypturellus undulatus",2021,TRUE,-69.211975,-12.648211
"12148","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12150","Crypturellus undulatus",2021,TRUE,-69.13024,-12.565193
"12151","Crypturellus undulatus",2021,TRUE,-69.5352,-12.402173
"12152","Crypturellus undulatus",2021,TRUE,-69.20007,-12.56646
"12155","Crypturellus undulatus",2021,TRUE,-69.13024,-12.565193
"12170","Crypturellus undulatus",2021,TRUE,-69.04454,-12.528606
"12172","Crypturellus undulatus",2021,TRUE,-69.182236,-12.634057
"12174","Crypturellus undulatus",2021,TRUE,-69.55601,-11.155413
"12178","Crypturellus undulatus",2021,TRUE,-69.187706,-12.627875
"12186","Crypturellus undulatus",2021,TRUE,-69.049385,-12.536786
"12188","Crypturellus undulatus",2021,TRUE,-69.19012,-12.633345
"12192","Crypturellus undulatus",2021,TRUE,-69.049385,-12.536786
"12194","Crypturellus undulatus",2021,TRUE,-69.18995,-12.630532
"12195","Crypturellus undulatus",2021,TRUE,-69.0448,-12.51909
"12197","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12198","Crypturellus undulatus",2021,TRUE,-69.32262,-12.773013
"12204","Crypturellus undulatus",2021,TRUE,-69.11454,-12.447138
"12206","Crypturellus undulatus",2021,TRUE,-69.062096,-12.603406
"12209","Crypturellus undulatus",2021,TRUE,-69.091995,-12.538019
"12217","Crypturellus undulatus",2021,TRUE,-70.285774,-12.848638
"12242","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12245","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12261","Crypturellus undulatus",2021,TRUE,-69.044235,-12.532759
"12280","Crypturellus undulatus",2021,TRUE,-69.14058,-12.590442
"12286","Crypturellus undulatus",2021,TRUE,-70.10028,-12.569224
"12298","Crypturellus undulatus",2021,TRUE,-69.0752,-12.439267
"12305","Crypturellus undulatus",2021,TRUE,-68.815186,-12.516423
"12313","Crypturellus undulatus",2021,TRUE,-69.14058,-12.590442
"12330","Crypturellus undulatus",2021,TRUE,-69.23435,-12.344222
"12335","Crypturellus undulatus",2021,TRUE,-69.234634,-12.344118
"12430","Crypturellus undulatus",2021,TRUE,-69.234634,-12.344118
"12458","Crypturellus undulatus",2021,TRUE,-69.234634,-12.344118
"12464","Crypturellus undulatus",2021,TRUE,-69.14058,-12.590442
"12504","Crypturellus strigulosus",2021,TRUE,-69.525,-12.397
"12505","Crypturellus strigulosus",2021,TRUE,-69.51664,-12.396777
"12507","Crypturellus strigulosus",2021,TRUE,-69.53652,-12.408889
"12515","Crypturellus strigulosus",2021,TRUE,-69.114655,-12.226011
"12517","Crypturellus strigulosus",2021,TRUE,-69.5352,-12.402173
"12520","Crypturellus strigulosus",2021,TRUE,-69.53229,-12.404868
"12528","Crypturellus strigulosus",2021,TRUE,-69.52603,-12.856889
"12533","Crypturellus strigulosus",2021,TRUE,-69.52151,-12.860189
"12540","Crypturellus strigulosus",2021,TRUE,-69.941154,-13.034843
"12542","Crypturellus strigulosus",2021,TRUE,-69.941154,-13.034843
"12550","Crypturellus strigulosus",2021,TRUE,-69.941154,-13.034843
"12551","Crypturellus strigulosus",2021,TRUE,-69.13824,-12.462024
"12554","Crypturellus strigulosus",2021,TRUE,-69.941154,-13.034843
"12556","Crypturellus strigulosus",2021,TRUE,-69.535416,-12.055731
"12558","Crypturellus strigulosus",2021,TRUE,-69.5241,-12.053749
"12559","Crypturellus strigulosus",2021,TRUE,-69.5241,-12.053749
"12560","Crypturellus strigulosus",2021,TRUE,-69.535416,-12.055731
"12563","Crypturellus strigulosus",2021,TRUE,-69.5241,-12.053749
"12569","Crypturellus strigulosus",2021,TRUE,-69.5241,-12.053749
"12572","Crypturellus strigulosus",2021,TRUE,-69.535416,-12.055731
"12574","Crypturellus strigulosus",2021,TRUE,-69.535416,-12.055731
"12575","Crypturellus strigulosus",2021,TRUE,-69.52341,-12.054328
"12576","Crypturellus strigulosus",2021,TRUE,-69.941154,-13.034843
"12577","Crypturellus strigulosus",2021,TRUE,-69.5241,-12.053749
"12578","Crypturellus strigulosus",2021,TRUE,-69.535416,-12.055731
"12581","Crypturellus strigulosus",2021,TRUE,-69.13824,-12.462024
"12587","Crypturellus strigulosus",2021,TRUE,-69.13824,-12.462024
"12589","Crypturellus strigulosus",2021,TRUE,-70.722305,-12.337929
"12590","Crypturellus strigulosus",2021,TRUE,-70.722305,-12.337929
"12595","Crypturellus strigulosus",2021,TRUE,-71.38529,-12.853964
"12598","Crypturellus strigulosus",2021,TRUE,-70.722305,-12.337929
"12607","Crypturellus strigulosus",2021,TRUE,-70.722305,-12.337929
"12610","Crypturellus strigulosus",2021,TRUE,-70.722305,-12.337929
"12665","Crypturellus strigulosus",2021,TRUE,-69.618576,-12.032316
"12666","Crypturellus strigulosus",2021,TRUE,-69.62135,-12.026151
"12684","Crypturellus strigulosus",2021,TRUE,-69.75393,-12.859087
"12685","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12687","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12688","Crypturellus strigulosus",2021,TRUE,-69.75401,-12.860943
"12691","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12692","Crypturellus strigulosus",2021,TRUE,-69.75401,-12.860943
"12693","Crypturellus strigulosus",2021,TRUE,-69.75381,-12.857403
"12695","Crypturellus strigulosus",2021,TRUE,-69.208496,-11.558474
"12696","Crypturellus strigulosus",2021,TRUE,-69.23649,-11.572495
"12697","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12698","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12699","Crypturellus strigulosus",2021,TRUE,-69.748024,-12.860184
"12700","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12702","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12703","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12704","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12705","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12706","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12707","Crypturellus strigulosus",2021,TRUE,-70.10028,-12.569224
"12708","Crypturellus strigulosus",2021,TRUE,-69.7592,-12.860026
"12709","Crypturellus strigulosus",2021,TRUE,-69.75055,-12.87639
"12711","Crypturellus strigulosus",2021,TRUE,-70.10028,-12.569224
"12712","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12713","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12714","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12716","Crypturellus strigulosus",2021,TRUE,-69.75393,-12.859087
"12717","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12718","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12719","Crypturellus strigulosus",2021,TRUE,-69.208496,-11.558474
"12720","Crypturellus strigulosus",2021,TRUE,-69.2587,-11.452951
"12721","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12724","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12726","Crypturellus strigulosus",2021,TRUE,-69.75828,-12.857314
"12728","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12733","Crypturellus strigulosus",2021,TRUE,-69.75286,-12.868444
"12737","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12738","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12739","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12740","Crypturellus strigulosus",2021,TRUE,-69.75932,-12.861419
"12741","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12742","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12743","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12744","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12746","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12747","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12749","Crypturellus strigulosus",2021,TRUE,-69.75036,-12.860905
"12750","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12752","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12753","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12754","Crypturellus strigulosus",2021,TRUE,-69.75286,-12.868444
"12755","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12757","Crypturellus strigulosus",2021,TRUE,-70.3055,-12.926089
"12758","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12759","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12760","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12761","Crypturellus strigulosus",2021,TRUE,-69.7592,-12.860026
"12762","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12764","Crypturellus strigulosus",2021,TRUE,-69.75932,-12.861419
"12765","Crypturellus strigulosus",2021,TRUE,-69.48945,-12.861573
"12766","Crypturellus strigulosus",2021,TRUE,-69.76257,-12.862009
"12767","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12768","Crypturellus strigulosus",2021,TRUE,-69.75828,-12.857314
"12769","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12770","Crypturellus strigulosus",2021,TRUE,-69.23649,-11.572495
"12771","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12772","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12773","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12774","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12775","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12776","Crypturellus strigulosus",2021,TRUE,-69.755775,-12.861268
"12777","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12779","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12780","Crypturellus strigulosus",2021,TRUE,-69.75381,-12.857403
"12781","Crypturellus strigulosus",2021,TRUE,-69.75652,-12.861405
"12782","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12783","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12784","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12787","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12788","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12792","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12794","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12797","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12800","Crypturellus strigulosus",2021,TRUE,-69.763535,-12.860162
"12801","Crypturellus strigulosus",2021,TRUE,-69.75036,-12.860905
"12802","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12803","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12805","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12807","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12808","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12809","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12813","Crypturellus strigulosus",2021,TRUE,-69.2934,-12.83692
"12815","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12816","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12817","Crypturellus strigulosus",2021,TRUE,-70.10028,-12.569224
"12819","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12821","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12824","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12825","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12830","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12832","Crypturellus strigulosus",2021,TRUE,-69.0171,-12.355319
"12833","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12836","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12837","Crypturellus strigulosus",2021,TRUE,-69.24365,-11.582321
"12838","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12839","Crypturellus strigulosus",2021,TRUE,-69.0171,-12.355319
"12843","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12845","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12847","Crypturellus strigulosus",2021,TRUE,-69.26938,-11.577148
"12849","Crypturellus strigulosus",2021,TRUE,-69.24386,-11.582739
"12856","Crypturellus strigulosus",2021,TRUE,-69.29303,-11.544328
"12857","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12860","Crypturellus strigulosus",2021,TRUE,-69.23135,-12.383306
"12861","Crypturellus strigulosus",2021,TRUE,-69.23135,-12.383306
"12862","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12864","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12870","Crypturellus strigulosus",2021,TRUE,-69.264824,-11.550795
"12874","Crypturellus strigulosus",2021,TRUE,-70.10028,-12.569224
"12879","Crypturellus strigulosus",2021,TRUE,-68.81929,-12.464261
"12881","Crypturellus strigulosus",2021,TRUE,-68.81929,-12.464261
"12981","Crypturellus strigulosus",2020,TRUE,-70.722305,-12.337929
"12982","Crypturellus strigulosus",2020,TRUE,-69.48945,-12.861573
"12983","Crypturellus strigulosus",2020,TRUE,-70.722305,-12.337929
"12988","Crypturellus strigulosus",2020,TRUE,-69.48945,-12.861573
"12989","Crypturellus strigulosus",2020,TRUE,-69.48945,-12.861573
"12999","Crypturellus strigulosus",2020,TRUE,-69.48945,-12.861573
"13109","Crypturellus variegatus",2021,TRUE,-69.7383,-12.034837
"13124","Crypturellus variegatus",2021,TRUE,-70.02707,-11.967786
"13126","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13130","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13135","Crypturellus variegatus",2021,TRUE,-69.5241,-12.053749
"13136","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13163","Crypturellus variegatus",2021,TRUE,-70.13004,-11.338166
"13164","Crypturellus variegatus",2021,TRUE,-70.13004,-11.338166
"13166","Crypturellus variegatus",2021,TRUE,-69.5241,-12.053749
"13169","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13170","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13180","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13181","Crypturellus variegatus",2021,TRUE,-69.5241,-12.053749
"13184","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13192","Crypturellus variegatus",2021,TRUE,-69.5241,-12.053749
"13193","Crypturellus variegatus",2021,TRUE,-69.96286,-12.094508
"13194","Crypturellus variegatus",2021,TRUE,-69.96264,-12.094235
"13195","Crypturellus variegatus",2021,TRUE,-69.52341,-12.054328
"13199","Crypturellus variegatus",2021,TRUE,-69.5241,-12.053749
"13203","Crypturellus variegatus",2021,TRUE,-70.1479,-11.314793
"13208","Crypturellus variegatus",2021,TRUE,-71.40795,-11.888369
"13209","Crypturellus variegatus",2021,TRUE,-70.10028,-12.569224
"13220","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13251","Crypturellus variegatus",2021,TRUE,-70.10028,-12.569224
"13270","Crypturellus variegatus",2021,TRUE,-70.722305,-12.337929
"13276","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13278","Crypturellus variegatus",2021,TRUE,-70.722305,-12.337929
"13282","Crypturellus variegatus",2021,TRUE,-70.722305,-12.337929
"13284","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13292","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13294","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13296","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13310","Crypturellus variegatus",2021,TRUE,-70.722305,-12.337929
"13314","Crypturellus variegatus",2021,TRUE,-69.48945,-12.861573
"13316","Crypturellus variegatus",2021,TRUE,-70.10026,-12.569215
"13351","Crypturellus variegatus",2021,TRUE,-70.722305,-12.337929
"13357","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13360","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13370","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13376","Crypturellus variegatus",2021,TRUE,-70.10028,-12.569224
"13381","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13390","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13393","Crypturellus variegatus",2021,TRUE,-71.24716,-12.684675
"13396","Crypturellus variegatus",2021,TRUE,-69.524345,-12.031419
"13405","Crypturellus variegatus",2021,TRUE,-69.524086,-12.028988
"13419","Crypturellus variegatus",2021,TRUE,-69.29354,-11.501962
"13420","Crypturellus variegatus",2021,TRUE,-70.18433,-12.946364
"13422","Crypturellus variegatus",2021,TRUE,-70.17738,-12.939898
"13425","Crypturellus variegatus",2021,TRUE,-69.24365,-11.582321
"13426","Crypturellus variegatus",2021,TRUE,-69.2934,-12.83692
"13431","Crypturellus variegatus",2021,TRUE,-69.2934,-12.83692
"13434","Crypturellus variegatus",2021,TRUE,-69.2587,-11.452951
"13435","Crypturellus variegatus",2021,TRUE,-69.24365,-11.582321
"13440","Crypturellus variegatus",2021,TRUE,-70.10028,-12.569224
"13445","Crypturellus variegatus",2021,TRUE,-69.2587,-11.452951
"13449","Crypturellus variegatus",2021,TRUE,-69.24365,-11.582321
"13460","Crypturellus variegatus",2021,TRUE,-69.29354,-11.501962
"13461","Crypturellus variegatus",2021,TRUE,-69.15535,-12.528645
"13462","Crypturellus variegatus",2021,TRUE,-69.24386,-11.582739
"13463","Crypturellus variegatus",2021,TRUE,-69.24365,-11.582321
"13464","Crypturellus variegatus",2021,TRUE,-69.24365,-11.582321
"13469","Crypturellus variegatus",2021,TRUE,-69.29354,-11.501962
"13471","Crypturellus variegatus",2021,TRUE,-69.2934,-12.83692
"13473","Crypturellus variegatus",2021,TRUE,-70.17867,-12.933598
"13474","Crypturellus variegatus",2021,TRUE,-69.2587,-11.452951
"13475","Crypturellus variegatus",2021,TRUE,-69.2587,-11.452951
"13476","Crypturellus variegatus",2021,TRUE,-69.2934,-12.83692
"13481","Crypturellus variegatus",2021,TRUE,-70.184364,-12.943461
"13483","Crypturellus variegatus",2021,TRUE,-69.138054,-12.475219
"13487","Crypturellus variegatus",2021,TRUE,-70.3055,-12.926089
"13491","Crypturellus variegatus",2021,TRUE,-70.10028,-12.569224
"13492","Crypturellus variegatus",2021,TRUE,-69.29354,-11.501962
"13494","Crypturellus variegatus",2021,TRUE,-69.2934,-12.83692
"13602","Crypturellus bartletti",2021,TRUE,-69.049385,-12.536786
"13603","Crypturellus bartletti",2021,TRUE,-69.525,-12.397
"13604","Crypturellus bartletti",2021,TRUE,-69.53229,-12.404868
"13605","Crypturellus bartletti",2021,TRUE,-69.049385,-12.536786
"13606","Crypturellus bartletti",2021,TRUE,-69.049385,-12.536786
"13607","Crypturellus bartletti",2021,TRUE,-69.5352,-12.402173
"13608","Crypturellus bartletti",2021,TRUE,-69.13024,-12.565193
"13610","Crypturellus bartletti",2021,TRUE,-69.24187,-12.676415
"13611","Crypturellus bartletti",2021,TRUE,-69.19012,-12.633345
"13612","Crypturellus bartletti",2021,TRUE,-69.049385,-12.536786
"13614","Crypturellus bartletti",2021,TRUE,-69.32262,-12.773013
"13616","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13617","Crypturellus bartletti",2021,TRUE,-70.215836,-12.94863
"13618","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13619","Crypturellus bartletti",2021,TRUE,-69.04497,-12.531019
"13620","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13621","Crypturellus bartletti",2021,TRUE,-71.34299,-12.667801
"13622","Crypturellus bartletti",2021,TRUE,-70.234055,-12.858816
"13623","Crypturellus bartletti",2021,TRUE,-71.34299,-12.667801
"13624","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13625","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13626","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13627","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13628","Crypturellus bartletti",2021,TRUE,-69.0448,-12.51909
"13630","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13631","Crypturellus bartletti",2021,TRUE,-69.14901,-12.69437
"13632","Crypturellus bartletti",2021,TRUE,-69.0448,-12.51909
"13633","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13634","Crypturellus bartletti",2021,TRUE,-69.15577,-12.693143
"13635","Crypturellus bartletti",2021,TRUE,-71.34299,-12.667801
"13636","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13638","Crypturellus bartletti",2021,TRUE,-69.941154,-13.034843
"13639","Crypturellus bartletti",2021,TRUE,-69.93627,-13.037679
"13640","Crypturellus bartletti",2021,TRUE,-69.15577,-12.693143
"13641","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13643","Crypturellus bartletti",2021,TRUE,-69.48945,-12.861573
"13647","Crypturellus bartletti",2021,TRUE,-70.10028,-12.569224
"13649","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13650","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13652","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13653","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13654","Crypturellus bartletti",2021,TRUE,-69.48593,-12.864214
"13655","Crypturellus bartletti",2021,TRUE,-70.10028,-12.569224
"13656","Crypturellus bartletti",2021,TRUE,-69.48593,-12.864214
"13657","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13659","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13661","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13663","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13664","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13665","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13666","Crypturellus bartletti",2021,TRUE,-69.48945,-12.861573
"13667","Crypturellus bartletti",2021,TRUE,-70.722305,-12.337929
"13669","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13670","Crypturellus bartletti",2021,TRUE,-70.10026,-12.569215
"13671","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13673","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13675","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13677","Crypturellus bartletti",2021,TRUE,-69.2999,-12.802443
"13679","Crypturellus bartletti",2021,TRUE,-70.51786,-12.788559
"13680","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13681","Crypturellus bartletti",2021,TRUE,-69.524345,-12.031419
"13682","Crypturellus bartletti",2021,TRUE,-71.40795,-11.888369
"13683","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13686","Crypturellus bartletti",2021,TRUE,-71.24716,-12.684675
"13687","Crypturellus bartletti",2021,TRUE,-70.70588,-12.355347
"13690","Crypturellus bartletti",2021,TRUE,-69.2934,-12.83692
"13691","Crypturellus bartletti",2021,TRUE,-70.14865,-12.856928
