scientificName,year,lon,lat,presence,row_code
Corythopis torquatus,2022,-69.482613,-12.864278,1,1
Corythopis torquatus,2022,-69.487288,-12.851363,1,2
Corythopis torquatus,2022,-69.472119,-12.865503,1,3
Corythopis torquatus,2020,-69.114655,-12.226011,1,4
Corythopis torquatus,2020,-69.941154,-13.034843,1,5
Corythopis torquatus,2021,-69.535416,-12.055731,1,6
Corythopis torquatus,2021,-69.48945,-12.861573,1,7
Corythopis torquatus,2021,-70.234055,-12.858816,1,8
Corythopis torquatus,2021,-71.37494,-12.870947,1,9
Corythopis torquatus,2021,-69.48593,-12.864214,1,10
Corythopis torquatus,2021,-71.28288,-11.944952,1,11
Corythopis torquatus,2021,-69.52341,-12.054328,1,12
Corythopis torquatus,2021,-70.10028,-12.569224,1,13
Corythopis torquatus,2021,-69.49921,-12.873428,1,14
Corythopis torquatus,2021,-71.38529,-12.853964,1,15
Corythopis torquatus,2021,-70.722305,-12.337929,1,16
Corythopis torquatus,2021,-69.0392,-12.606668,1,17
Corythopis torquatus,2021,-70.7064,-12.35545,1,18
Corythopis torquatus,2021,-69.618576,-12.032316,1,19
Corythopis torquatus,2020,-69.2934,-12.83692,1,20
Corythopis torquatus,2021,-69.23649,-11.572495,1,21
Corythopis torquatus,2021,-69.26938,-11.577148,1,22
Corythopis torquatus,2021,-69.50106,-12.876321,1,23
Corythopis torquatus,2020,-69.2999,-12.802443,1,24
Corythopis torquatus,2019,-69.61086,-13.134195,1,25
Corythopis torquatus,2021,-69.264824,-11.550795,1,26
Corythopis torquatus,2021,-71.222565,-11.997766,1,27
Corythopis torquatus,2021,-69.24386,-11.582739,1,28
Corythopis torquatus,2021,-69.46915,-12.851636,1,29
Corythopis torquatus,2021,-69.6764,-12.045998,1,30
Corythopis torquatus,2019,-71.37564,-12.87021,1,31
Corythopis torquatus,2020,-69.0696,-12.598548,1,32
Corythopis torquatus,2020,-68.81929,-12.464261,1,33
Corythopis torquatus,2020,-69.45775,-12.850758,1,34
Corythopis torquatus,2020,-68.72528,-12.446656,1,35
Corythopis torquatus,2020,-69.05129,-12.538752,1,36
Corythopis torquatus,2019,-71.40795,-11.888369,1,37
Corythopis torquatus,2020,-69.19205,-12.65717,1,38
Corythopis torquatus,2020,-69.18902,-12.627158,1,39
Corythopis torquatus,2020,-69.089035,-12.477251,1,40
Corythopis torquatus,2020,-70.956726,-12.334845,1,41
Corythopis torquatus,2020,-69.091965,-12.482911,1,42
Corythopis torquatus,2020,-69.17422,-12.251993,1,43
Corythopis torquatus,2020,-69.04305,-12.530376,1,44
Corythopis torquatus,2020,-69.04454,-12.528606,1,45
Corythopis torquatus,2020,-69.344345,-12.791591,1,46
Corythopis torquatus,2020,-70.95674,-12.334385,1,47
Corythopis torquatus,2020,-70.88949,-12.288079,1,48
Corythopis torquatus,2020,-70.22209,-12.830974,1,49
Corythopis torquatus,2020,-71.23695,-11.986259,1,50
Corythopis torquatus,2019,-69.07849,-12.617532,1,51
Corythopis torquatus,2019,-68.82521,-12.46375,1,52
Corythopis torquatus,2019,-69.07801,-12.607198,1,53
Corythopis torquatus,2019,-68.93749,-12.530015,1,54
Corythopis torquatus,2019,-69.40266,-12.825122,1,55
Corythopis torquatus,2019,-68.81791,-12.463017,1,56
Corythopis torquatus,2019,-69.03245,-12.60614,1,57
Corythopis torquatus,2019,-71.387886,-12.840305,1,58
Corythopis torquatus,2019,-71.38092,-12.866364,1,59
Corythopis torquatus,2019,-69.69023,-12.039801,1,60
Corythopis torquatus,2019,-69.67656,-12.046506,1,61
Corythopis torquatus,2019,-69.4096,-12.875353,1,62
Corythopis torquatus,2019,-69.61036,-13.134375,1,63
Corythopis torquatus,2019,-70.10025,-12.580741,1,64
Corythopis torquatus,2019,-71.379,-12.871098,1,65
Poecilotriccus albifacies,2012,-70.980239,-12.223893,0,66
Todirostrum chrysocrotaphum,2021,-70.029239,-11.990893,0,67
Inezia inornata,2021,-70.017239,-12.647893,0,68
Poecilotriccus albifacies,2008,-71.366239,-12.895893,0,69
Poecilotriccus albifacies,2008,-71.366239,-12.895893,0,70
Todirostrum chrysocrotaphum,2022,-69.135239,-12.604893,0,71
Elaenia gigas,2021,-71.391239,-12.795893,0,72
Poecilotriccus albifacies,2013,-70.760239,-12.299893,0,73
Mionectes macconnelli,2019,-69.515239,-12.931893,0,74
Poecilotriccus albifacies,2021,-70.722239,-12.337893,0,75
Poecilotriccus latirostris,2021,-69.152239,-12.372893,0,76
Mionectes macconnelli,2021,-69.117239,-12.106893,0,77
Poecilotriccus albifacies,2012,-71.133239,-12.080893,0,78
Todirostrum chrysocrotaphum,2022,-69.168239,-12.500893,0,79
Poecilotriccus albifacies,2011,-71.119239,-12.431893,0,80
Poecilotriccus latirostris,2021,-69.614239,-11.008893,0,81
Ornithion inerme,2021,-69.697239,-11.084893,0,82
Sublegatus modestus,2021,-70.100239,-12.568893,0,83
Todirostrum chrysocrotaphum,2022,-69.489239,-12.860893,0,84
Poecilotriccus albifacies,2012,-70.728239,-12.324893,0,85
Poecilotriccus albifacies,2018,-69.402239,-12.824893,0,86
Elaenia gigas,2021,-71.368239,-12.808893,0,87
Poecilotriccus albifacies,2012,-70.980239,-12.223893,0,88
Ornithion inerme,2021,-71.385239,-12.854893,0,89
Elaenia gigas,2021,-71.391239,-12.795893,0,90
Poecilotriccus latirostris,2021,-69.524239,-12.053893,0,91
Inezia inornata,2021,-69.174239,-12.594893,0,92
Inezia inornata,2021,-69.201239,-12.603893,0,93
Poecilotriccus albifacies,2012,-69.300239,-12.802893,0,94
Poecilotriccus latirostris,2021,-69.619239,-10.997893,0,95
Poecilotriccus albifacies,2011,-71.392239,-12.833893,0,96
Poecilotriccus albifacies,2021,-69.611239,-13.133893,0,97
Ornithion inerme,2021,-69.496239,-12.873893,0,98
Poecilotriccus albifacies,2018,-69.402239,-12.824893,0,99
Todirostrum chrysocrotaphum,2021,-70.149239,-11.347893,0,100
Poecilotriccus albifacies,2012,-71.133239,-12.080893,0,101
Poecilotriccus latirostris,2021,-69.615239,-10.998893,0,102
Inezia inornata,2021,-71.377239,-12.829893,0,103
Poecilotriccus albifacies,2013,-70.980239,-12.222893,0,104
Poecilotriccus albifacies,2011,-69.533239,-11.399893,0,105
Mionectes macconnelli,2021,-69.489239,-12.861893,0,106
Inezia inornata,2020,-70.886239,-12.284893,0,107
Inezia inornata,2021,-69.174239,-12.594893,0,108
Todirostrum maculatum,2021,-69.080239,-12.606893,0,109
Todirostrum maculatum,2021,-69.190239,-12.604893,0,110
Poecilotriccus albifacies,2006,-69.409239,-12.874893,0,111
Mionectes macconnelli,2019,-69.517239,-12.933893,0,112
Myiopagis gaimardii,2021,-69.043239,-12.525893,0,113
Inezia inornata,2021,-69.149239,-12.693893,0,114
Sublegatus modestus,2021,-69.458239,-12.850893,0,115
Poecilotriccus albifacies,2016,-71.240239,-12.631893,0,116
Inezia inornata,2020,-69.183239,-12.653893,0,117
Poecilotriccus latirostris,2021,-69.620239,-11.011893,0,118
Poecilotriccus albifacies,2018,-69.402239,-12.824893,0,119
Poecilotriccus albifacies,2017,-69.271239,-12.935893,0,120
