system:index,bio12_annual_precip,bio1_mean_annual_temp,presence,row_code,scientificName,year,.geo
000000000000000000ec,3779.5497142650465,20.585397131649064,0,237,Nephelomys levipes,1900,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-70.00580984609672,-13.50613397885732],[-69.99661597038148,-13.50613397885732],[-69.99661597038148,-13.497136842035097],[-70.00580984609672,-13.497136842035097],[-70.00580984609672,-13.50613397885732]]]}"
000000000000000000b8,2530.050967357198,16.095434181025773,0,185,Nephelomys keaysi,1901,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-67.00126259442857,-16.00443452606511],[-66.99196254163802,-16.00443452606511],[-66.99196254163802,-15.995437389249213],[-67.00126259442857,-15.995437389249213],[-67.00126259442857,-16.00443452606511]]]}"
00000000000000000078,1901.6020816787152,19.190670345828742,0,121,Akodon orophilus,1926,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.26821116469783,-6.168932905089053],[-77.25921938689108,-6.168932905089053],[-77.25921938689108,-6.159935768248894],[-77.26821116469783,-6.159935768248894],[-77.26821116469783,-6.168932905089053]]]}"
000000000000000000fb,3375.767257312112,23.756244643660615,0,252,Sciurus igniventris,1929,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.31798472153493,-0.6411324794801162],[-77.3090443849263,-0.6411324794801162],[-77.3090443849263,-0.6321353426268022],[-77.31798472153493,-0.6321353426268022],[-77.31798472153493,-0.6411324794801162]]]}"
000000000000000000cb,2175.812677001953,25.585677440961202,0,204,Aotus vociferans,1931,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-77.65829847594686,-4.41763434365553],[-77.64933210653561,-4.41763434365553],[-77.64933210653561,-4.408637206811185],[-77.65829847594686,-4.408637206811185],[-77.65829847594686,-4.41763434365553]]]}"
000000000000000000b1,2416.489957682292,26.049999237060547,0,178,Ateles belzebuth,1932,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-61.75548554556433,0.3963665626226782],[-61.74654554221742,0.3963665626226782],[-61.74654554221742,0.4053636994784506],[-61.75548554556433,0.4053636994784506],[-61.75548554556433,0.3963665626226782]]]}"
00000000000000000072,2115.8295644124346,25.644643878936765,0,115,Saguinus mystax,1936,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-69.87291246835423,-6.675232615999245],[-69.86391174876658,-6.675232615999245],[-69.86391174876658,-6.6662354791603],[-69.87291246835423,-6.6662354791603],[-69.87291246835423,-6.675232615999245]]]}"
00000000000000000071,1621.165961371528,23.289481347480425,0,114,Saimiri boliviensis,1938,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-63.67299832103843,-17.456933185008715],[-63.663627143013386,-17.456933185008715],[-63.663627143013386,-17.447936048196574],[-63.67299832103843,-17.447936048196574],[-63.67299832103843,-17.456933185008715]]]}"
000000000000000000f1,2835.527649685555,1.184197180375024,0,242,Caenolestes fuliginosus,1939,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-78.13968546510175,-0.508335991007759],[-78.130745334749,-0.508335991007759],[-78.130745334749,-0.4993388541541304],[-78.13968546510175,-0.4993388541541304],[-78.13968546510175,-0.508335991007759]]]}"
0000000000000000008f,4289.932118775933,25.049999237060547,0,144,Aotus vociferans,1941,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-75.72438348070357,1.4753664582297938],[-75.71544071359479,1.4753664582297938],[-75.71544071359479,1.484363595088124],[-75.72438348070357,1.484363595088124],[-75.72438348070357,1.4753664582297938]]]}"
