"","row_code","scientificName","year","lon","lat","presence","X","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"1",1,"Marmosops noctivagus",2019,-76.645794,0.192555,1,1,0.127584980327249,0.843425310274522,0.00178793994140625,0,0,0,0,0,0,0,0,0,0,0,1
"2",2,"Marmosops noctivagus",2012,-73.8162,-1.5176,1,2,0,0.891545695564256,0,0.00401845040360993,0.0835921184811407,0,0,0,0,0,0,0,0,0,1
"3",3,"Marmosops noctivagus",2011,-77.69,-2.15,1,3,0.529031393566438,0.447651146116924,0.00160805697021484,0,0,0.0084869665145874,0,0,0,0,0,0,0,0,1
"4",4,"Marmosops noctivagus",2009,-72.9175,-2.7928,1,4,0,0.980691534689506,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",5,"Marmosops noctivagus",2007,-77.52611,-5.75336,1,5,0.31742781663455,0.645227283786798,0.00444793811035156,0,0,0,0,0,0,0,0,0,0,0,1
"6",6,"Marmosops noctivagus",1995,-76.45,-0.65,1,6,0,0.960623289899367,0.0161112468210584,0,0,0,0,0,0,0,0,0,0,0,1
"7",7,"Marmosops noctivagus",2006,-76.449997,-0.66,1,7,0,0.940348456480741,0.0363841857182521,0,0,0,0,0,0,0,0,0,0,0,1
"8",8,"Marmosops noctivagus",2006,-76.432,-0.686,1,8,0,0.745066273342519,0.0917479356301047,0,0,0.134574425875577,0,0,0,0,0,0,0,0,1
"9",9,"Marmosops noctivagus",2005,-76.37499,-7.746722,1,9,0,0.977266481046394,0.00443018920898438,0,0,0,0,0,0,0,0,0,0,0,1
"10",10,"Marmosops noctivagus",2003,-67.873333,-16.194444,1,10,0,0.971490010046795,0,0,0,0,0.00486874666516672,0,0,0,0,0,0,0,3
"11",11,"Marmosops noctivagus",2003,-67.8675,-16.194444,1,11,0,0.986691087462525,0,0,0,0,0.00540235434953278,0,0,0,0,0,0,0,3
"12",12,"Marmosops noctivagus",2003,-67.503056,-16.360833,1,12,0,0.963446688110356,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",13,"Marmosops noctivagus",2001,-71.546231,-13.054669,1,13,0.015076325592041,0.947246538286931,0.0072621806233724,0,0.0121125850763538,0,0.00639079561360677,0,0,0,0,0,0,0,3
"14",14,"Marmosops noctivagus",2001,-71.385467,-12.771717,1,14,0.0814815292289856,0.607445378390008,0.027043666379116,0,0.250473812222785,0,0,0,0,0,0,0,0,0,3
"15",15,"Marmosops noctivagus",2001,-71.49185,-13.023617,1,15,0.048031098869185,0.901112265975673,0.022865677888758,0,0.033275002587042,0,0,0,0,0,0,0,0,0,3
"16",16,"Marmosops noctivagus",1999,-71.56875,-13.100533,1,16,0.0228126484375,0.928337279491406,0,0,0.013069434753418,0,0.014028228137207,0,0,0,0,0,0,0,3
"17",17,"Marmosops noctivagus",1998,-73.3406,-11.7794,1,17,0,0.970961275848264,0,0,0,0,0,0,0,0,0,0,0,0,3
"18",18,"Marmosops noctivagus",1998,-73.3258,-11.7669,1,18,0.138850315858043,0.803281711447305,0.0218097351339004,0,0.0250642825067367,0,0,0,0,0,0,0,0,0,3
"19",19,"Marmosops noctivagus",1998,-73.513,-12.865,1,19,0.0681039339932528,0.909616503114444,0,0,0,0,0,0,0,0,0,0,0,0,3
"20",20,"Marmosops noctivagus",1994,-73.183333,-4.333333,1,20,0,0.965764263991393,0,0.0196127933959961,0,0,0,0,0,0,0,0,0,0,1
"21",21,"Marmosops noctivagus",1994,-73.183333,-4.316667,1,21,0,0.963353596308754,0,0.00599743843772195,0,0,0,0,0,0,0,0,0,0,1
"22",22,"Marmosops noctivagus",1993,-73.9588463,-4.67201,1,22,0,0,0,0.981453670502071,0,0,0,0,0,0,0,0,0,0,1
"23",23,"Marmosops noctivagus",1993,-76.1161755,-2.5815219,1,23,0.0094180356611772,0.974485719205838,0,0,0,0,0,0,0,0,0,0,0,0,1
"24",24,"Marmosops noctivagus",1993,-76.1161756,-2.5560502,1,24,0.0164007102827592,0.930782395158247,0.0159767652926975,0,0.012341171525435,0,0,0,0,0,0,0,0,0,1
"25",25,"Marmosops noctivagus",1993,-66.483333,-17.033333,1,25,0,0,0.271500214562096,0,0,0,0,0.706755539727358,0,0,0,0,0,0,3
"26",26,"Marmosops noctivagus",1991,-65.583333,-17.016667,1,26,0.133685556560465,0.866799398282507,0,0,0,0,0,0,0,0,0,0,0,0,3
"27",27,"Marmosops noctivagus",1993,-66,-17.033333,1,27,0.276788830048359,0.682328472783669,0,0,0,0,0,0,0,0,0,0,0,0,3
"28",28,"Marmosops noctivagus",1993,-65.984722,-17.041389,1,28,0.404129556600544,0.530124347025902,0.0156879299519857,0,0,0,0.0357458302869718,0,0,0,0,0,0,0,3
"29",29,"Marmosops noctivagus",1993,-66.013333,-17.066667,1,29,0.572118918479031,0.40665705343605,0,0,0.00513356872558594,0,0,0,0,0,0,0,0,0,3
"30",30,"Marmosops noctivagus",1993,-66,-17.06667,1,30,0.519657159096458,0.440319532676003,0,0,0,0,0,0,0,0,0,0,0,0,3
