system:index,area,class,row_code,year,.geo
0_000000000000000000ec_0_0,0.9875141698079477,3,237,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b8_0_0,0.9765206821533178,3,185,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000078_0_0,0.9554150622422177,3,121,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000078_0_1,0.023917930633903947,14,121,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb_0_0,0.06401529785993992,3,252,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb_0_1,0.883162727889714,14,252,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fb_0_2,0.025029792724609375,24,252,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000cb_0_0,0.9786890490636438,3,204,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b1_0_0,0.9728215192059748,3,178,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_0,0.12255464501953144,3,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_1,0.09676997867000801,12,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_2,0.2779693843383807,14,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_3,0.174671386855181,24,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000072_0_4,0.2904489487915052,33,115,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000071_0_0,0.07490466538157745,3,114,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000071_0_1,0.7717280199649569,14,114,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000071_0_2,0.13920245745682064,24,114,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f1_0_0,0.09475776867675777,25,242,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f1_0_1,0.2601368612670895,27,242,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000f1_0_2,0.6186075775756843,34,242,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008f_0_0,0.9596177823182335,14,144,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008f_0_1,0.017758015219295733,24,144,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e8_0_0,0.17680661122041585,3,233,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e8_0_1,0.7335616053904838,12,233,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000e8_0_2,0.06900912734518613,14,233,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_0,0.034120057822792205,3,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_1,0.7372637825906198,6,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_2,0.004353374572753906,11,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_3,0.1410352329216451,12,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000009d_0_4,0.06077492126584519,33,158,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000085_0_0,0.9786826516824181,3,134,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4_0_0,0.9091513007295468,3,165,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000a4_0_1,0.08101054763614428,13,165,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008c_0_0,0.25938762476232213,3,141,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000008c_0_1,0.7306964191590571,12,141,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000091_0_0,0.201294727903598,13,146,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000091_0_1,0.5914531517108977,14,146,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000091_0_2,0.18599779510258718,25,146,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_0,0.05619886938476559,3,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_1,0.8563014130040784,6,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_2,0.049576930841423485,14,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_3,0.009434743768669575,25,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000069_0_4,0.011355276716164979,33,106,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_0,0.002654908203125,3,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_1,0.09823205438232424,6,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000094_0_2,0.8628481069946343,14,149,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000076_0_0,0.9684928438110388,3,119,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000076_0_1,0.004467216247558594,33,119,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_0,0.0017789380493164063,11,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_1,0.005336842041015625,12,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_2,0.15667290533040354,14,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_3,0.3847106971794577,24,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b2_0_4,0.4302689676686007,25,179,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_0,0.05248176470947267,12,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_1,0.18871398467299522,13,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_2,0.7299941074426988,14,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000099_0_3,0.008895215515136718,25,154,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000bb_0_0,0.9659560081054709,3,188,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a_0_0,0.11497625284471696,3,107,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a_0_1,0.5679604439917457,14,107,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a_0_2,0.008918343627929686,24,107,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a_0_3,0.0034309422887465533,25,107,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000006a_0_4,0.28571063713642175,33,107,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9_0_0,0.45027297061001537,3,218,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9_0_1,0.02390428800407859,6,218,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9_0_2,0.3205339835700546,14,218,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000d9_0_3,0.1954946312988281,33,218,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_0,0.3640505876010073,3,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_1,0.14987179812203236,6,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_2,0.00535655322265625,14,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000081_0_3,0.4453160665862443,33,130,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000b3_0_0,0.9759556799819022,3,180,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093_0_0,0.0012225543284696693,6,148,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093_0_1,0.0136279464503868,11,148,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000093_0_2,0.9760334139961937,12,148,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_0,0.03618778947155522,3,150,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_1,0.33156302132568305,6,150,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_2,0.543208649643124,12,150,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000095_0_3,0.07992105839293243,33,150,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000c7_0_0,0.9387182777748265,3,200,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
