row_code,farming,forest_formation,other_non_vegetated,flooded_forest,river_lake_ocean,urban,non_forested_natural,grassland,wetland,mining,savannah_formation,mangrove,not_observed,glacier
1,0.12758498,0.84342531,0.00178794,0,0,0,0,0,0,0,0,0,0,0
2,0,0.891545696,0,0.00401845,0.083592118,0,0,0,0,0,0,0,0,0
3,0.529031394,0.447651146,0.001608057,0,0,0.008486967,0,0,0,0,0,0,0,0
4,0,0.980691535,0,0,0,0,0,0,0,0,0,0,0,0
5,0.317427817,0.645227284,0.004447938,0,0,0,0,0,0,0,0,0,0,0
6,0,0.96062329,0.016111247,0,0,0,0,0,0,0,0,0,0,0
7,0,0.940348456,0.036384186,0,0,0,0,0,0,0,0,0,0,0
8,0,0.745066273,0.091747936,0,0,0.134574426,0,0,0,0,0,0,0,0
9,0,0.977266481,0.004430189,0,0,0,0,0,0,0,0,0,0,0
10,0,0.97149001,0,0,0,0,0.004868747,0,0,0,0,0,0,0
11,0,0.986691087,0,0,0,0,0.005402354,0,0,0,0,0,0,0
12,0,0.963446688,0,0,0,0,0,0,0,0,0,0,0,0
13,0.015076326,0.947246538,0.007262181,0,0.012112585,0,0.006390796,0,0,0,0,0,0,0
14,0.081481529,0.607445378,0.027043666,0,0.250473812,0,0,0,0,0,0,0,0,0
15,0.048031099,0.901112266,0.022865678,0,0.033275003,0,0,0,0,0,0,0,0,0
16,0.022812648,0.928337279,0,0,0.013069435,0,0.014028228,0,0,0,0,0,0,0
17,0,0.970961276,0,0,0,0,0,0,0,0,0,0,0,0
18,0.138850316,0.803281711,0.021809735,0,0.025064283,0,0,0,0,0,0,0,0,0
19,0.068103934,0.909616503,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0.965764264,0,0.019612793,0,0,0,0,0,0,0,0,0,0
21,0,0.963353596,0,0.005997438,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0.981453671,0,0,0,0,0,0,0,0,0,0
23,0.009418036,0.974485719,0,0,0,0,0,0,0,0,0,0,0,0
24,0.01640071,0.930782395,0.015976765,0,0.012341172,0,0,0,0,0,0,0,0,0
25,0,0,0.271500215,0,0,0,0,0.70675554,0,0,0,0,0,0
26,0.133685557,0.866799398,0,0,0,0,0,0,0,0,0,0,0,0
27,0.27678883,0.682328473,0,0,0,0,0,0,0,0,0,0,0,0
28,0.404129557,0.530124347,0.01568793,0,0,0,0.03574583,0,0,0,0,0,0,0
29,0.572118918,0.406657053,0,0,0.005133569,0,0,0,0,0,0,0,0,0
30,0.519657159,0.440319533,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0.974041405,0,0,0,0,0,0,0,0,0,0,0,0
32,0.03725256,0.939525432,0,0,0,0,0,0.001464096,0,0,0,0,0,0
33,0.065415419,0.055203904,0.01871287,0.616842693,0.210360463,0,0,0,0,0,0,0,0,0
34,0.017753165,0.003011746,0.0043591,0.01014481,0,0,0,0.188864944,0.7579962,0,0,0,0,0
35,0.038309028,0.397524781,0.202373407,0.013415742,0.328856855,0,0,0,0,0,0,0,0,0
36,0.037066427,0.816021206,0,0,0.006545151,0,0,0.06886142,0.055417288,0,0,0,0,0
37,0.430261093,0.422101292,0,0.121682403,0.006150557,0,0,0,0,0,0,0,0,0
