system:index,area,class,territory,year,.geo
0_0_0,0.01744230041503906,6,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,0.013954540527343746,3,2,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.01744221801757813,6,3,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.01748448706054688,3,4,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,0.007872930419921874,3,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.0034884964599609376,6,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,0.01744267456054687,3,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,0.01831394018554687,3,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,0.0061048129272460935,3,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,0.011337496643066408,6,10,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,0.004375598022460937,3,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,0.002625353759765625,33,11,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_0,8.74772705078125E-4,3,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10_1,0.006123405517578126,33,12,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_0,8.7310205078125E-4,3,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_1,0.0017462041015625,14,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11_2,0.0017462041015625,25,13,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_0,0.01308126068115234,3,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12_1,8.720825805664063E-4,6,14,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13_0,0.013954409667968747,3,15,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14_0,0.003491922119140625,33,17,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_0,0.0017476126708984374,3,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15_1,0.005242832702636719,6,18,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_0,0.012247808227539061,3,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_16_1,0.0017496839599609375,33,19,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_0,0.0061054567260742185,6,20,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_17_1,0.011338704040527345,14,20,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_18_0,0.02190685241699219,3,21,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_19_0,0.017525194091796877,3,22,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_0,0.00784865899658203,3,23,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_20_1,0.009592827819824219,6,23,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_0,8.723222045898438E-4,3,24,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_21_1,0.013084870605468752,6,24,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_22_0,0.013939051025390628,3,25,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_23_0,0.017526804504394533,3,26,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
