"","row_code","flooded_forest","forest_formation","farming","river_lake_ocean","other_non_vegetated","grassland","wetland","mining","urban"
"1",1,0.0163037058888889,0.00315302107692308,0,0,0,0,0,0,0
"2",2,0,0.013954541,0,0,0,0,0,0,0
"3",3,0.0149954592222222,0.00518136488235294,0,0,0,0,0,0,0
"4",4,0,0.0119477311944444,0.00906014595454546,0,0,0,0,0,0
"5",6,0,0.00787293,0,0,0,0,0,0,0
"6",7,0.00229658383333333,0.00139535,0.00255406928571429,0,0,0,0,0,0
"7",8,0,0.017442675,0,0,0,0,0,0,0
"8",9,0,0.01831394,0,0,0,0,0,0,0
"9",10,0.00896339597222222,0.00487181293103448,0.0109305084,0,0,0,0,0,0
"10",11,0.002625359,0.00418112033333333,0,0.00267397166666667,0,0,0,0,0
"11",12,0.000875,0.000875,0,0.006123406,0,0,0,0,0
"12",13,0,0.00232825216666667,0.001821018,0,0.00160067,0,0,0,0
"13",14,0.00376240485714286,0.00828479416666667,0.00939166861538462,0,0,0,0,0,0
"14",15,0,0.0119436190555556,0.00603234708333333,0,0,0,0,0,0
"15",17,0,0,0,0.003491922,0,0,0,0,0
"16",18,0.00616518377777778,0.00156369447368421,0,0,0,0,0,0,0
"17",19,0.0027120788,0.0109598441111111,0,0.00228431008333333,0,0,0,0,0
"18",20,0.00523323775,0,0.0122109113333333,0,0,0,0,0,0
"19",21,0,0.021906852,0,0,0,0,0,0,0
"20",22,0,0.017525194,0,0,0,0,0,0,0
"21",23,0.0123543933888889,0.00552311887878788,0.000872,0,0,0,0,0,0
"22",24,0.00603352619444444,0.00346501738888889,0.00697860060869565,0,0,0,0,0,0
"23",25,0,0.0126322641388889,0.00276729088235294,0,0,0,0,0,0
"24",26,0,0.017526805,0,0,0,0,0,0,0
"25",27,0.00838496486111111,0.00615118375757576,0,0.00347551469444444,0,0,0,0,0
"26",28,0,0.0150178279166667,0.00820482245454545,0,0,0,0,0,0
"27",29,0.00444799386666667,0.00145354533333333,0.006818679,0.00690458027777778,0.00120750538461538,0.000872,0,0,0
"28",30,0.0017496826,0.00488430752777778,0,0.00187110327777778,0,0,0,0,0
"29",31,0,0.013953519,0,0,0,0,0,0,0
"30",32,0.0121008312777778,0.000873,0.00124714871428571,0.00249430380952381,0.001455008,0,0,0,0
