"","scientificName","year","indicator","lon","lat"
"571","Speothos venaticus",2022,TRUE,-54.440584,-6.29547
"572","Speothos venaticus",2022,TRUE,-72.913757,2.558085
"573","Speothos venaticus",2022,TRUE,-72.899712,2.540663
"574","Speothos venaticus",2022,TRUE,-72.942641,2.45228
"580","Speothos venaticus",2020,TRUE,-55.66739,5.315889
"582","Speothos venaticus",2019,TRUE,-76.255788,-0.509671
"583","Speothos venaticus",2019,TRUE,-55.181667,4.949053
"585","Speothos venaticus",2019,TRUE,-76.76492,0.87067
"586","Speothos venaticus",2018,TRUE,-70.965389,0.123694
"592","Speothos venaticus",2018,TRUE,-74.30942,1.24839
"593","Speothos venaticus",2018,TRUE,-74.69475,0.30808
"594","Speothos venaticus",2018,TRUE,-74.61012,0.18249
"597","Speothos venaticus",2018,TRUE,-52.51849,3.94175
"598","Speothos venaticus",2017,TRUE,-75.905667,1.672639
"600","Speothos venaticus",2017,TRUE,-55.21643,4.93047
"602","Speothos venaticus",2017,TRUE,-55.18997,4.94075
"603","Speothos venaticus",2017,TRUE,-52.51299,4.46443
"604","Speothos venaticus",2017,TRUE,-52.51299,4.46443
"605","Speothos venaticus",2017,TRUE,-55.202358,4.931887
"606","Speothos venaticus",2017,TRUE,-55.202358,4.931887
"607","Speothos venaticus",2017,TRUE,-55.202411,4.931962
"610","Speothos venaticus",2016,TRUE,-73.793,2.261
"611","Speothos venaticus",2016,TRUE,-73.778958,2.248476
"612","Speothos venaticus",2016,TRUE,-73.778958,2.248476
"613","Speothos venaticus",2016,TRUE,-73.778958,2.248476
"614","Speothos venaticus",2016,TRUE,-73.778958,2.248476
"615","Speothos venaticus",2016,TRUE,-73.778958,2.248476
"617","Speothos venaticus",2015,TRUE,-53.32092,5.2731
"618","Speothos venaticus",2015,TRUE,-53.93268,5.46629
"619","Speothos venaticus",2013,TRUE,-76.708542,-1.089927
"620","Speothos venaticus",2013,TRUE,-52.21696,4.56776
"624","Speothos venaticus",2012,TRUE,-73.7197,-1.679
"625","Speothos venaticus",2012,TRUE,-52.51849,3.94175
"626","Speothos venaticus",2012,TRUE,-52.51849,3.94175
"627","Speothos venaticus",2012,TRUE,-52.51849,3.94175
"630","Speothos venaticus",2011,TRUE,-53.99302,3.72685
"631","Speothos venaticus",2010,TRUE,-52.7657,4.93463
"632","Speothos venaticus",2010,TRUE,-52.01411,3.92137
"633","Speothos venaticus",2010,TRUE,-53.26107,3.69234
"634","Speothos venaticus",2010,TRUE,-53.43138,3.73168
"635","Speothos venaticus",2010,TRUE,-53.2178,2.44257
"636","Speothos venaticus",2010,TRUE,-52.96567,4.98365
"637","Speothos venaticus",2010,TRUE,-52.19369,4.56617
"638","Speothos venaticus",2010,TRUE,-53.10277,5.41106
"639","Speothos venaticus",2010,TRUE,-52.13713,4.58023
"640","Speothos venaticus",2010,TRUE,-52.73528,4.0705
"641","Speothos venaticus",2010,TRUE,-53.30211,4.58764
"644","Speothos venaticus",2009,TRUE,-53.41397,4.59457
"650","Speothos venaticus",2001,TRUE,-77.4972,0.1804
"651","Speothos venaticus",2001,TRUE,-77.3847,0.2458
"652","Speothos venaticus",2001,TRUE,-58.811,3.268
"653","Speothos venaticus",2001,TRUE,-53.24865,4.67709
"655","Speothos venaticus",2000,TRUE,-75.7016,-8.4053
"660","Speothos venaticus",1998,TRUE,-53.31341,4.55545
"667","Speothos venaticus",1994,TRUE,-52.93917,5.01825
"668","Speothos venaticus",1993,TRUE,-59.25,3.25
"673","Speothos venaticus",1992,TRUE,-69.295,-12.838
"674","Speothos venaticus",1992,TRUE,-69.083,-13
"683","Speothos venaticus",1989,TRUE,-60.93,-14.55
"718","Speothos venaticus",1977,TRUE,-78.19333,-4.44167
"721","Speothos venaticus",1976,TRUE,-57.15,-1.03
"735","Speothos venaticus",1969,TRUE,-59.5,2.833333
"736","Speothos venaticus",1969,TRUE,-59.5,2.833333
"737","Speothos venaticus",1967,TRUE,-59.316667,2.966667
"748","Speothos venaticus",1957,TRUE,-73.883333,3.283333
"757","Speothos venaticus",1940,TRUE,-72.692767,-12.864725
"775","Speothos venaticus",1927,TRUE,-73.247223,-3.748056
"777","Speothos venaticus",1927,TRUE,-73.751831,-10.73077
"779","Speothos venaticus",1926,TRUE,-73.247223,-3.748056
"1728","Pecari tajacu",2022,TRUE,-66.098873,-13.761165
"1776","Pecari tajacu",2022,TRUE,-77.524912,-1.055986
"1863","Pecari tajacu",2022,TRUE,-67.596699,-14.342038
"1864","Pecari tajacu",2022,TRUE,-69.052366,-12.575623
"2575","Atelocynus microtis",2022,TRUE,-77.772517,-1.719247
"2576","Atelocynus microtis",2020,TRUE,-68.89192,-12.298866
"2577","Atelocynus microtis",2020,TRUE,-69.070968,-12.296009
"2578","Atelocynus microtis",2020,TRUE,-69.15659,-8.54614
"2579","Atelocynus microtis",2019,TRUE,-76.335924,-0.588234
"2580","Atelocynus microtis",2019,TRUE,-72.43934,-0.55188
"2581","Atelocynus microtis",2019,TRUE,-72.43276,-0.54859
"2582","Atelocynus microtis",2018,TRUE,-74.76306,1.37139
"2583","Atelocynus microtis",2018,TRUE,-69.60135,-2.19831
"2584","Atelocynus microtis",2018,TRUE,-69.60135,-2.19831
"2585","Atelocynus microtis",2018,TRUE,-69.60135,-2.19831
"2586","Atelocynus microtis",2018,TRUE,-74.75056,1.37111
"2587","Atelocynus microtis",2018,TRUE,-72.568824,-3.518424
"2588","Atelocynus microtis",2018,TRUE,-74.61086,0.22855
"2589","Atelocynus microtis",2018,TRUE,-74.64581,0.25325
"2590","Atelocynus microtis",2018,TRUE,-74.68233,0.29106
"2591","Atelocynus microtis",2018,TRUE,-74.68375,0.31058
"2592","Atelocynus microtis",2018,TRUE,-74.69476,0.18283
"2593","Atelocynus microtis",2018,TRUE,-74.66358,0.18175
"2594","Atelocynus microtis",2018,TRUE,-74.682,0.27319
"2595","Atelocynus microtis",2018,TRUE,-74.61516,0.27561
"2596","Atelocynus microtis",2018,TRUE,-74.62096,0.28856
"2597","Atelocynus microtis",2018,TRUE,-74.6116,0.28547
"2598","Atelocynus microtis",2018,TRUE,-74.66697,0.29328
"2599","Atelocynus microtis",2018,TRUE,-69.711231,-13.063142
"2600","Atelocynus microtis",2018,TRUE,-69.716106,-13.068492
"2601","Atelocynus microtis",2018,TRUE,-69.661905,-13.141299
"2602","Atelocynus microtis",2018,TRUE,-69.722675,-13.093982
"2603","Atelocynus microtis",2018,TRUE,-69.716099,-13.117554
"2604","Atelocynus microtis",2018,TRUE,-69.790892,-13.049964
"2605","Atelocynus microtis",2018,TRUE,-69.755501,-13.082326
"2606","Atelocynus microtis",2018,TRUE,-69.70237,-13.093918
"2607","Atelocynus microtis",2018,TRUE,-69.78078,-13.15263
"2608","Atelocynus microtis",2018,TRUE,-69.662761,-13.027447
"2609","Atelocynus microtis",2018,TRUE,-69.79927,-13.112112
"2610","Atelocynus microtis",2018,TRUE,-69.652503,-13.194355
"2611","Atelocynus microtis",2018,TRUE,-69.751135,-13.063729
"2612","Atelocynus microtis",2017,TRUE,-76.77585,0.08649
"2613","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2614","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2615","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2616","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2617","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2618","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2619","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2620","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2621","Atelocynus microtis",2017,TRUE,-70.05395,-3.94339
"2622","Atelocynus microtis",2017,TRUE,-72.443411,-3.385508
"2623","Atelocynus microtis",2016,TRUE,-73.793,2.261
"2624","Atelocynus microtis",2016,TRUE,-73.785761,2.260175
"2625","Atelocynus microtis",2016,TRUE,-73.785761,2.260175
"2626","Atelocynus microtis",2016,TRUE,-73.785761,2.260175
"2627","Atelocynus microtis",2016,TRUE,-73.785761,2.260175
"2628","Atelocynus microtis",2016,TRUE,-73.785761,2.260175
"2629","Atelocynus microtis",2016,TRUE,-73.775759,2.240571
