"","scientificName","year","indicator","lon","lat"
"1173","Speothos venaticus",1992,TRUE,-69.295,-12.838
"1174","Speothos venaticus",1992,TRUE,-69.083,-13
"3364","Pecari tajacu",2022,TRUE,-69.052366,-12.575623
"3864","Pecari tajacu",2022,TRUE,-69.052366,-12.575623
"4364","Pecari tajacu",2022,TRUE,-69.052366,-12.575623
"5576","Atelocynus microtis",2020,TRUE,-68.89192,-12.298866
"5577","Atelocynus microtis",2020,TRUE,-69.070968,-12.296009
"5599","Atelocynus microtis",2018,TRUE,-69.711231,-13.063142
"5600","Atelocynus microtis",2018,TRUE,-69.716106,-13.068492
"5601","Atelocynus microtis",2018,TRUE,-69.661905,-13.141299
"5602","Atelocynus microtis",2018,TRUE,-69.722675,-13.093982
"5603","Atelocynus microtis",2018,TRUE,-69.716099,-13.117554
"5604","Atelocynus microtis",2018,TRUE,-69.790892,-13.049964
"5605","Atelocynus microtis",2018,TRUE,-69.755501,-13.082326
"5606","Atelocynus microtis",2018,TRUE,-69.70237,-13.093918
"5607","Atelocynus microtis",2018,TRUE,-69.78078,-13.15263
"5608","Atelocynus microtis",2018,TRUE,-69.662761,-13.027447
"5609","Atelocynus microtis",2018,TRUE,-69.79927,-13.112112
"5610","Atelocynus microtis",2018,TRUE,-69.652503,-13.194355
"5611","Atelocynus microtis",2018,TRUE,-69.751135,-13.063729
"5641","Atelocynus microtis",2004,TRUE,-70.068794,-12.418206
"5646","Atelocynus microtis",1999,TRUE,-71.269,-12.66833
"5647","Atelocynus microtis",1999,TRUE,-71.269,-12.66833
"5648","Atelocynus microtis",1996,TRUE,-68.7,-12.517
"5650","Atelocynus microtis",1992,TRUE,-69.295,-12.838
"5670","Atelocynus microtis",1962,TRUE,-71.133331,-12.2
"5671","Atelocynus microtis",1961,TRUE,-71.133331,-12.2
"5992","Aotus lemurinus",2012,TRUE,-69.078087,-12.607466
"6402","Alouatta sara",2022,TRUE,-70.098073,-12.567697
"6403","Alouatta sara",2022,TRUE,-70.100111,-12.569
"6405","Alouatta sara",2019,TRUE,-71.22599,-11.994523
"6406","Alouatta sara",2018,TRUE,-69.517163,-12.934271
"6407","Alouatta sara",2018,TRUE,-69.034395,-12.609153
"6408","Alouatta sara",2018,TRUE,-71.354742,-12.561936
"6409","Alouatta sara",2018,TRUE,-69.609688,-13.135005
"6411","Alouatta sara",2018,TRUE,-69.068046,-12.602083
"6413","Alouatta sara",2018,TRUE,-69.299576,-12.802183
"6414","Alouatta sara",2018,TRUE,-69.62274,-13.138178
"6415","Alouatta sara",2018,TRUE,-69.630036,-13.13776
"6416","Alouatta sara",2017,TRUE,-69.041885,-12.605548
"6417","Alouatta sara",2017,TRUE,-71.395071,-12.786835
"6418","Alouatta sara",2017,TRUE,-69.597017,-13.101071
"6420","Alouatta sara",2017,TRUE,-69.498539,-12.074966
"6427","Alouatta sara",2016,TRUE,-70.099981,-12.56867
"6428","Alouatta sara",2016,TRUE,-69.110523,-12.63222
"6431","Alouatta sara",2015,TRUE,-69.241109,-12.781193
"6432","Alouatta sara",2015,TRUE,-69.61092,-13.133993
"6433","Alouatta sara",2014,TRUE,-69.360037,-12.894407
"6434","Alouatta sara",2014,TRUE,-69.032,-12.605
"6436","Alouatta sara",2014,TRUE,-70.790477,-12.281346
"6439","Alouatta sara",2012,TRUE,-69.050764,-12.484368
"6440","Alouatta sara",2012,TRUE,-69.044489,-12.60228
"6442","Alouatta sara",2010,TRUE,-71.231939,-12.652908
"6443","Alouatta sara",2009,TRUE,-69.193276,-12.582529
"6447","Alouatta sara",2008,TRUE,-68.799454,-12.441807
"6450","Alouatta sara",2006,TRUE,-71.161496,-12.172274
"6451","Alouatta sara",2005,TRUE,-70.730626,-12.38315
"6452","Alouatta sara",2005,TRUE,-69.610638,-13.13425
"9915","Pithecia monachus",2007,TRUE,-70.1,-12.566667
"9916","Pithecia monachus",2007,TRUE,-70.1,-12.566667
"9926","Pithecia monachus",2005,TRUE,-70.1,-12.566667
"10419","Plecturocebus brunneus",2017,TRUE,-69.279155,-12.809543
"10420","Plecturocebus brunneus",2015,TRUE,-70.601463,-12.439158
"10421","Plecturocebus brunneus",2015,TRUE,-71.239014,-12.588475
"10423","Plecturocebus brunneus",2011,TRUE,-69.567275,-12.979588
"10424","Plecturocebus brunneus",2011,TRUE,-69.567275,-12.979588
"10425","Plecturocebus brunneus",2011,TRUE,-71.064269,-12.130934
"10429","Plecturocebus brunneus",2005,TRUE,-68.870859,-12.882708
"10430","Plecturocebus brunneus",1999,TRUE,-71.269,-12.66833
"10431","Plecturocebus brunneus",1999,TRUE,-71.269,-12.66833
"10474","Plecturocebus brunneus",1960,TRUE,-71.133331,-12.2
"10475","Plecturocebus brunneus",1954,TRUE,-71.216667,-12.783334
"12226","Furipterus horrens",1985,TRUE,-71.25,-12.9333
"12441","Platyrrhinus infuscus",2020,TRUE,-69.297241,-12.826533
"12442","Platyrrhinus infuscus",2020,TRUE,-69.298134,-12.838771
"12443","Platyrrhinus infuscus",2020,TRUE,-69.291481,-12.832984
"12444","Platyrrhinus infuscus",2020,TRUE,-69.289169,-12.83127
"12445","Platyrrhinus infuscus",2020,TRUE,-69.293068,-12.835093
"12446","Platyrrhinus infuscus",2020,TRUE,-69.299431,-12.827124
"12447","Platyrrhinus infuscus",2020,TRUE,-69.299492,-12.827156
"12448","Platyrrhinus infuscus",2020,TRUE,-69.297418,-12.82649
"12449","Platyrrhinus infuscus",2020,TRUE,-69.298267,-12.838754
"12450","Platyrrhinus infuscus",2019,TRUE,-69.3,-12.85
"12514","Platyrrhinus infuscus",2001,TRUE,-71.385417,-12.77165
"12515","Platyrrhinus infuscus",2001,TRUE,-71.385467,-12.771717
"12521","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12522","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12523","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12524","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12525","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12526","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12527","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12528","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12529","Platyrrhinus infuscus",1999,TRUE,-71.269,-12.66833
"12663","Platyrrhinus infuscus",1990,TRUE,-69.05449,-12.6
