"","row_code","scientificName","year","lon","lat","presence","species","farming","flooded_forest","grassland","other_non_vegetated","urban","wetland","forest_formation","river_lake_ocean","not_observed","mangrove","non_forested_natural","savannah_formation","rocky_outcrop","mining","fold"
"1",1,"Bradypus tridactylus",2022,-55.211258,5.84551,1,"Bradypus tridactylus",0.279044430969238,0.170369553894043,0.00355780773925781,0.0747948144975142,0.442461724770285,0.00889446032714844,0,0,0,0,0,0,0,0,5
"2",2,"Bradypus tridactylus",2022,-52.247773,4.710535,1,"Bradypus tridactylus",0,0.90128494894751,0,0,0,0.0170237231606115,0.0573826586303711,0,0,0,0,0,0,0,1
"3",3,"Bradypus tridactylus",2022,-55.390009,4.338627,1,"Bradypus tridactylus",0,0,0,0,0,0,0.761868060712336,0.228424612985583,0,0,0,0,0,0,5
"4",4,"Bradypus tridactylus",2018,-55.1178,5.7995,1,"Bradypus tridactylus",0.350506160059703,0.490579061124849,0,0.0177846961351881,0.0859026224541921,0.0614729102824958,0,0,0,0,0,0,0,0,5
"5",5,"Bradypus tridactylus",2022,-55.862926,-1.760728,1,"Bradypus tridactylus",0,0,0,0,0.969275432954673,0,0,0,0,0,0,0,0,0,4
"6",6,"Bradypus tridactylus",2022,-52.338889,4.767101,1,"Bradypus tridactylus",0.0649701917580344,0.727524932176385,0,0,0.00207891404215495,0.0682370501176314,0.116328584793629,0,0,0,0,0,0,0,1
"7",7,"Bradypus tridactylus",2022,-59.017977,4.122754,1,"Bradypus tridactylus",0,0,0,0,0,0,0.990208164488545,0,0,0,0,0,0,0,5
"8",8,"Bradypus tridactylus",2022,-53.125782,3.933889,1,"Bradypus tridactylus",0,0,0,0,0,0,0.964265244682758,0,0,0,0,0,0,0,1
"9",9,"Bradypus tridactylus",2022,-59.240981,7.808831,1,"Bradypus tridactylus",0,0.727945704324685,0,0,0,0.0211683271957207,0.118100242552514,0.108885273313341,0,0,0,0,0,0,5
"10",10,"Bradypus tridactylus",2022,-55.053947,5.669207,1,"Bradypus tridactylus",0.135135178837338,0.726291397732192,0,0.0333333338589537,0.00873544556773793,0.0093420930480957,0,0.0702146344661501,0,0,0,0,0,0,5
"11",11,"Bradypus tridactylus",2022,-60.093275,-3.058592,1,"Bradypus tridactylus",0.135920204974724,0,0.0199686050692472,0,0.156602775119786,0.00101781728084789,0.663804048467983,0.00267819649251302,0,0,0,0,0,0,4
"12",12,"Bradypus tridactylus",2021,-52.370663,4.682575,1,"Bradypus tridactylus",0.0114566224452427,0.160576710140735,0,0.0121779952799479,0,0.0694225494384766,0.723768472663672,0,0,0,0,0,0,0,1
"13",13,"Bradypus tridactylus",2021,-52.653703,5.171483,1,"Bradypus tridactylus",0.133160170521129,0.110899328346946,0.0104424126475941,0.0760106872836026,0.541949808971056,0.0658111798428622,0,0.0269556941250888,0.00445215057373047,0,0,0,0,0,1
"14",14,"Bradypus tridactylus",2021,-60.091808,-3.049012,1,"Bradypus tridactylus",0.232067297652921,0,0.0316979444223224,0,0.0849774768825593,0.00852165563409979,0.625898135201727,0,0,0,0,0,0,0,4
"15",15,"Bradypus tridactylus",2015,-52.262664,4.889554,1,"Bradypus tridactylus",0.0612228501032048,0.0629231539806019,0,0.00400861312866211,0.0161154359519265,0.0105114858642578,0.817276586164994,0.00704549979469993,0,0,0,0,0,0,1
"16",16,"Bradypus tridactylus",2021,-52.257361,4.882252,1,"Bradypus tridactylus",0,0,0,0,0,0,0.967010806360973,0.000817459199793198,0,0,0,0,0,0,1
"17",17,"Bradypus tridactylus",2021,-55.173494,5.803282,1,"Bradypus tridactylus",0.168342944103634,0.0185181242842241,0.00493708154081457,0.183138130159222,0.601820003458463,0.00760379191011317,0,0,0,0,0,0,0,0,5
"18",18,"Bradypus tridactylus",2021,-59.063145,4.17468,1,"Bradypus tridactylus",0,0,0,0,0,0,0.968370743316296,0,0,0,0,0,0,0,5
"19",19,"Bradypus tridactylus",2020,-52.701111,5.073611,1,"Bradypus tridactylus",0,0,0,0,0,0,0.969595426818601,0,0,0,0,0,0,0,1
"20",20,"Bradypus tridactylus",2019,-60.087267,-3.0164,1,"Bradypus tridactylus",0.315022967040298,0,0.0422036933094371,0,0,0.00211018717262962,0.52135779632453,0.0837578503528942,0.000892770080566406,0,0,0,0,0,4
"21",21,"Bradypus tridactylus",2020,-57.19709,4.423802,1,"Bradypus tridactylus",0,0,0,0,0,0,0.953372447952733,0.0279455471953203,0,0,0,0,0,0,5
"22",22,"Bradypus tridactylus",2017,-55.180413,4.948807,1,"Bradypus tridactylus",0,0,0.00623512335205078,0,0,0,0.963445291073156,0,0,0,0,0,0,0,5
"23",23,"Bradypus tridactylus",2020,-55.09768,5.626479,1,"Bradypus tridactylus",0.497190393194939,0.447633230865142,0,0.027473701393821,0.0155307035411488,0.0085396288320504,0,0,0,0,0,0,0,0,5
"24",24,"Bradypus tridactylus",2018,-55.158681,5.845823,1,"Bradypus tridactylus",0.337809115048637,0.243043664705339,0,0.0654845088448101,0.289745129692309,0.00444723785400391,0.028785892578125,0,0,0,0,0,0,0,5
"25",25,"Bradypus tridactylus",2020,-55.299747,5.813652,1,"Bradypus tridactylus",0.532693791769479,0.360191428752258,0.00745871616085277,0.0154788205556614,0.00694125463116488,0.0607768388902742,0,0,0,0,0,0,0,0,5
"26",26,"Bradypus tridactylus",2020,-60.086765,-3.017055,1,"Bradypus tridactylus",0.302436856833218,0,0.0397465559313551,0,0,0.00211018717262962,0.539483584732681,0.092431174670693,0.000892770080566406,0,0,0,0,0,4
"27",27,"Bradypus tridactylus",2018,-52.27913,4.88412,1,"Bradypus tridactylus",0.0641184349609375,0.250226760684481,0,0.0377110986938477,0.521914840846945,0.0142530216230913,0.0874622209694603,0,0,0,0,0,0,0,1
"28",28,"Bradypus tridactylus",2020,-52.260729,4.876562,1,"Bradypus tridactylus",0,0,0,0,0,0,0.963663163890163,0,0,0,0,0,0,0,1
"29",29,"Bradypus tridactylus",2020,-52.268278,4.893242,1,"Bradypus tridactylus",0.0375299909945619,0.0771014148417699,0,0.00612906003023035,0.0406053361728498,0.000890804870605469,0.820562884576405,0,0,0,0,0,0,0,1
"30",30,"Bradypus tridactylus",2020,-52.532228,4.530643,1,"Bradypus tridactylus",0,0,0,0,0,0,0.969655166417011,0,0,0,0,0,0,0,1
"31",31,"Bradypus tridactylus",2020,-52.50868,4.98305,1,"Bradypus tridactylus",0.0717407063987039,0.76674260988025,0.00213766040039063,0,0,0.0723885351451527,0.0563847128710415,0,0,0,0,0,0,0,1
"32",32,"Bradypus tridactylus",2020,-52.56832,5.092595,1,"Bradypus tridactylus",0.0689461120290827,0.613737292632696,0,0,0,0.0419126761412595,0,0,0,0.256496198704945,0,0,0,0,1
"33",33,"Bradypus tridactylus",2020,-53.446104,5.549099,1,"Bradypus tridactylus",0.0659580600973473,0.228743067580236,0.0245933591696999,0.00133485003662109,0,0.205472790831192,0.440060764968148,0,0,0,0,0,0,0,1
