"","scientificName","year","lon","lat","presence","row_code"
"505973","Eubucco richardsoni",2022,-70.098073,-12.567697,1,1
"505998","Eubucco richardsoni",2021,-69.525,-12.397,1,2
"506183","Eubucco richardsoni",2021,-69.04454,-12.528606,1,3
"506504","Eubucco richardsoni",2021,-69.044235,-12.532759,1,4
"506024","Eubucco richardsoni",2021,-69.04328,-12.525399,1,5
"506527","Eubucco richardsoni",2021,-69.53229,-12.404868,1,6
"506532","Eubucco richardsoni",2021,-68.815186,-12.516423,1,7
"506543","Eubucco richardsoni",2021,-69.08029,-12.607384,1,8
"506056","Eubucco richardsoni",2021,-70.29799,-12.857498,1,9
"506068","Eubucco richardsoni",2021,-70.02707,-11.967786,1,10
"506071","Eubucco richardsoni",2021,-70.01787,-11.234662,1,11
"506579","Eubucco richardsoni",2021,-71.40795,-11.888369,1,12
"506574","Eubucco richardsoni",2021,-69.5241,-12.053749,1,13
"506618","Eubucco richardsoni",2021,-69.535416,-12.055731,1,14
"506077","Eubucco richardsoni",2021,-70.14312,-11.34149,1,15
"506083","Eubucco richardsoni",2021,-70.149536,-11.294778,1,16
"506593","Eubucco richardsoni",2021,-70.14929,-11.288705,1,17
"506594","Eubucco richardsoni",2021,-71.37494,-12.870947,1,18
"506124","Eubucco richardsoni",2021,-69.6172,-10.99717,1,19
"506602","Eubucco richardsoni",2021,-70.1465,-11.304617,1,20
"506639","Eubucco richardsoni",2021,-70.14619,-11.306397,1,21
"506610","Eubucco richardsoni",2021,-69.63233,-11.017609,1,22
"506620","Eubucco richardsoni",2021,-70.14973,-11.297032,1,23
"506151","Eubucco richardsoni",2021,-69.68995,-11.075389,1,24
"506166","Eubucco richardsoni",2021,-70.145325,-11.344716,1,25
"506140","Eubucco richardsoni",2021,-70.14708,-11.346219,1,26
"506648","Eubucco richardsoni",2021,-69.52341,-12.054328,1,27
"506158","Eubucco richardsoni",2021,-70.35093,-12.636987,1,28
"506668","Eubucco richardsoni",2021,-70.14898,-11.291119,1,29
"506680","Eubucco richardsoni",2021,-69.135735,-12.605129,1,30
"506196","Eubucco richardsoni",2021,-71.38529,-12.853964,1,31
"506701","Eubucco richardsoni",2021,-69.04497,-12.531019,1,32
"506702","Eubucco richardsoni",2021,-69.61086,-13.134195,1,33
"506715","Eubucco richardsoni",2021,-69.44565,-12.832129,1,34
"506216","Eubucco richardsoni",2021,-69.01618,-12.526438,1,35
"506721","Eubucco richardsoni",2021,-69.445335,-12.832686,1,36
"506225","Eubucco richardsoni",2021,-70.678734,-12.444564,1,37
"506738","Eubucco richardsoni",2021,-69.48945,-12.861573,1,38
"506336","Eubucco richardsoni",2021,-70.10028,-12.569224,1,39
"506745","Eubucco richardsoni",2021,-69.48593,-12.864214,1,40
"506250","Eubucco richardsoni",2021,-70.722305,-12.337929,1,41
"506910","Eubucco richardsoni",2021,-71.37564,-12.87021,1,42
"506754","Eubucco richardsoni",2021,-69.49648,-12.873594,1,43
"506764","Eubucco richardsoni",2021,-70.3055,-12.926089,1,44
"506274","Eubucco richardsoni",2021,-69.23135,-12.383306,1,45
"506784","Eubucco richardsoni",2021,-69.61393,-13.133967,1,46
"506296","Eubucco richardsoni",2021,-69.0392,-12.606668,1,47
"506310","Eubucco richardsoni",2021,-69.618576,-12.032316,1,48
"506826","Eubucco richardsoni",2021,-71.26947,-12.668821,1,49
"506435","Eubucco richardsoni",2021,-69.2999,-12.802443,1,50
"506364","Eubucco richardsoni",2021,-69.62135,-12.026151,1,51
"506924","Eubucco richardsoni",2021,-69.2587,-11.452951,1,52
"506374","Eubucco richardsoni",2021,-69.33866,-12.790586,1,53
"506957","Eubucco richardsoni",2021,-69.49921,-12.873428,1,54
"506380","Eubucco richardsoni",2021,-69.24386,-11.582739,1,55
"506386","Eubucco richardsoni",2021,-69.23649,-11.572495,1,56
"506887","Eubucco richardsoni",2021,-69.26938,-11.577148,1,57
"506439","Eubucco richardsoni",2021,-69.2934,-12.83692,1,58
"506415","Eubucco richardsoni",2021,-69.62119,-12.024628,1,59
"506921","Eubucco richardsoni",2021,-70.21147,-12.775129,1,60
"506930","Eubucco richardsoni",2021,-70.958824,-12.34179,1,61
"506459","Eubucco richardsoni",2021,-71.26898,-12.666081,1,62
"1","Picumnus aurifrons",2020,-69.113239,-12.593893,0,63
"2","Muscisaxicola fluviatilis",2019,-71.371239,-12.877893,0,64
"3","Hoploxypterus cayanus",2022,-69.537239,-13.032893,0,65
"4","Ramphotrigon ruficauda",2021,-70.793239,-12.310893,0,66
"5","Heliodoxa branickii",2019,-71.402239,-12.858893,0,67
"6","Pyrrhura rupicola",2019,-69.551239,-13.046893,0,68
"7","Celeus spectabilis",2021,-71.378239,-12.831893,0,69
"8","Muscisaxicola fluviatilis",2018,-71.112239,-12.088893,0,70
"9","Poecilotriccus albifacies",2009,-70.872239,-12.268893,0,71
"10","Myrmotherula iheringi",2016,-69.391239,-12.172893,0,72
"11","Muscisaxicola fluviatilis",2018,-70.986239,-12.205893,0,73
"12","Tangara mexicana",2022,-69.472239,-12.865893,0,74
"13","Galbalcyrhynchus purusianus",2019,-68.807239,-12.483893,0,75
"14","Philydor erythropterum",2021,-69.265239,-11.550893,0,76
"15","Dichrozona cincta",2018,-70.099239,-12.558893,0,77
"16","Attila bolivianus",2021,-69.271239,-12.430893,0,78
"17","Amazona farinosa",2022,-69.034239,-12.554893,0,79
"18","Todirostrum maculatum",2021,-69.172239,-12.593893,0,80
"19","Sclerurus caudacutus",2018,-70.087239,-12.576893,0,81
"20","Agelasticus xanthophthalmus",2021,-69.154239,-12.583893,0,82
"21","Hemitriccus iohannis",2022,-69.080239,-12.606893,0,83
"22","Cymbilaimus sanctaemariae",2020,-69.320239,-12.790893,0,84
"23","Thamnophilus aethiops",2021,-69.763239,-12.859893,0,85
"24","Paroaria gularis",2021,-69.197239,-12.573893,0,86
"25","Hemitriccus griseipectus",2020,-69.054239,-12.208893,0,87
"26","Myrmoborus leucophrys",2022,-69.480239,-12.863893,0,88
"27","Formicarius rufifrons",2020,-69.162239,-12.556893,0,89
"28","Harpia harpyja",2021,-71.245239,-12.680893,0,90
"29","Dacnis cayana",2022,-69.492239,-12.861893,0,91
"30","Pteroglossus beauharnaisii",2020,-69.195239,-12.584893,0,92
"31","Epinecrophylla spodionota",2019,-71.373239,-12.561893,0,93
"32","Opisthocomus hoazin",2022,-71.342239,-12.887893,0,94
"33","Pharomachrus pavoninus",2020,-69.053239,-12.207893,0,95
"34","Cacicus cela",2022,-69.052239,-12.575893,0,96
"35","Piculus leucolaemus",2020,-68.982239,-12.496893,0,97
"36","Cercomacroides fuscicauda",2021,-69.505239,-11.423893,0,98
"37","Hemitriccus cohnhafti",2011,-69.516239,-11.449893,0,99
"38","Automolus melanopezus",2009,-71.410239,-11.910893,0,100
"39","Psophia leucoptera",2019,-69.287239,-12.833893,0,101
"40","Aulacorhynchus atrogularis",2016,-69.460239,-12.856893,0,102
