scientificName,year,lon,lat,presence,row_code
Marmosops noctivagus,2019,-76.6457940,0.1925550,1,1
Marmosops noctivagus,2012,-73.8162000,-1.5176000,1,2
Marmosops noctivagus,2011,-77.6900000,-2.1500000,1,3
Marmosops noctivagus,2009,-72.9175000,-2.7928000,1,4
Marmosops noctivagus,2007,-77.5261100,-5.7533600,1,5
Marmosops noctivagus,1995,-76.4500000,-0.6500000,1,6
Marmosops noctivagus,2006,-76.4499970,-0.6600000,1,7
Marmosops noctivagus,2006,-76.4320000,-0.6860000,1,8
Marmosops noctivagus,2005,-76.3749900,-7.7467220,1,9
Marmosops noctivagus,2003,-67.8733330,-16.1944440,1,10
Marmosops noctivagus,2003,-67.8675000,-16.1944440,1,11
Marmosops noctivagus,2003,-67.5030560,-16.3608330,1,12
Marmosops noctivagus,2001,-71.5462310,-13.0546690,1,13
Marmosops noctivagus,2001,-71.3854670,-12.7717170,1,14
Marmosops noctivagus,2001,-71.4918500,-13.0236170,1,15
Marmosops noctivagus,1999,-71.5687500,-13.1005330,1,16
Marmosops noctivagus,1998,-73.3406000,-11.7794000,1,17
Marmosops noctivagus,1998,-73.3258000,-11.7669000,1,18
Marmosops noctivagus,1998,-73.5130000,-12.8650000,1,19
Marmosops noctivagus,1994,-73.1833330,-4.3333330,1,20
Marmosops noctivagus,1994,-73.1833330,-4.3166670,1,21
Marmosops noctivagus,1993,-73.9588463,-4.6720100,1,22
Marmosops noctivagus,1993,-76.1161755,-2.5815219,1,23
Marmosops noctivagus,1993,-76.1161756,-2.5560502,1,24
Marmosops noctivagus,1993,-66.4833330,-17.0333330,1,25
Marmosops noctivagus,1991,-65.5833330,-17.0166670,1,26
Marmosops noctivagus,1993,-66.0000000,-17.0333330,1,27
Marmosops noctivagus,1993,-65.9847220,-17.0413890,1,28
Marmosops noctivagus,1993,-66.0133330,-17.0666670,1,29
Marmosops noctivagus,1993,-66.0000000,-17.0666700,1,30
Marmosops noctivagus,1992,-72.7833330,-8.6666670,1,31
Marmosops noctivagus,1992,-72.8166670,-8.3666670,1,32
Marmosops noctivagus,1992,-69.2950000,-12.8380000,1,33
Marmosops noctivagus,1992,-68.9130000,-12.9550000,1,34
Marmosops noctivagus,1992,-69.6070000,-13.1420000,1,35
Marmosops noctivagus,1992,-66.0166670,-3.3166670,1,36
Marmosops noctivagus,1992,-66.7330000,-10.7670000,1,37
Marmosops noctivagus,1992,-67.4500000,-16.0833330,1,38
Marmosops noctivagus,1992,-67.4333330,-16.0833330,1,39
Marmosops noctivagus,1992,-67.5166700,-15.7333300,1,40
Marmosops noctivagus,1992,-67.7500000,-16.1500000,1,41
Marmosops noctivagus,1991,-70.0833330,-6.8333330,1,42
Marmosops noctivagus,1991,-70.8500000,-6.7500000,1,43
Marmosops noctivagus,1990,-69.0544900,-12.6000000,1,44
Marmosops noctivagus,1990,-68.2500000,-13.8800000,1,45
Marmosops noctivagus,1990,-76.9500000,-1.1167000,1,46
Marmosops noctivagus,1987,-72.0670860,-13.1016830,1,47
Marmosops noctivagus,1987,-72.0507780,-13.1149750,1,48
Marmosops noctivagus,1986,-76.4366800,-0.2571500,1,49
Marmosops noctivagus,1986,-70.4444000,-13.7248100,1,50
Marmosops noctivagus,1985,-69.2213600,-14.2060400,1,51
Marmosops noctivagus,1986,-67.5666670,-11.4166670,1,52
Marmosops noctivagus,1986,-68.2333330,-12.1333330,1,53
Marmosops noctivagus,1986,-68.2400000,-12.1300000,1,54
Marmosops noctivagus,1986,-70.5600000,-11.4200000,1,55
Marmosops noctivagus,1986,-67.5833300,-15.6333300,1,56
Marmosops noctivagus,1985,-71.5544500,-13.0636800,1,57
Marmosops noctivagus,1985,-71.2500000,-12.9333000,1,58
Marmosops noctivagus,1984,-69.0728900,-12.6000000,1,59
Marmosops noctivagus,1984,-68.8196700,-12.4666700,1,60
Marmosops noctivagus,1984,-71.2000000,-12.9000000,1,61
Marmosops noctivagus,1984,-72.7060000,-3.1990000,1,62
Marmosops noctivagus,1983,-76.3222200,-0.0533330,1,63
Marmosops noctivagus,1979,-67.5500030,-15.4666700,1,64
Marmosops noctivagus,1979,-67.7666700,-16.3500000,1,65
Marmosops noctivagus,1979,-65.8000000,-11.0833300,1,66
