"","row_code","scientificName","year","lon","lat","presence","bio1_mean_annual_temp","bio12_annual_precip","farming","forest_formation","other_non_vegetated","flooded_forest","river_lake_ocean","urban","non_forested_natural","grassland","wetland","mining","savannah_formation","mangrove","not_observed","glacier","fold"
"1",1,"Marmosops noctivagus",2019,-76.645794,0.192555,1,24.7412035783132,4331.60055135091,0.12758498,0.84342531,0.00178794,0,0,0,0,0,0,0,0,0,0,0,1
"2",2,"Marmosops noctivagus",2012,-73.8162,-1.5176,1,24.8187705993652,3084.64144999186,0,0.891545696,0,0.00401845,0.083592118,0,0,0,0,0,0,0,0,0,1
"3",3,"Marmosops noctivagus",2011,-77.69,-2.15,1,23.1891882872779,4325.25748966942,0.529031394,0.447651146,0.001608057,0,0,0.008486967,0,0,0,0,0,0,0,0,1
"4",4,"Marmosops noctivagus",2009,-72.9175,-2.7928,1,24.874571598417,3353.12004526225,0,0.980691535,0,0,0,0,0,0,0,0,0,0,0,0,1
"5",5,"Marmosops noctivagus",2007,-77.52611,-5.75336,1,21.7974290374882,1473.81159910092,0.317427817,0.645227284,0.004447938,0,0,0,0,0,0,0,0,0,0,0,1
"6",6,"Marmosops noctivagus",1995,-76.45,-0.65,1,24.8437750646188,3289.62128116085,0,0.96062329,0.016111247,0,0,0,0,0,0,0,0,0,0,0,1
"7",7,"Marmosops noctivagus",2006,-76.449997,-0.66,1,24.8500003814697,3306.86621904175,0,0.940348456,0.036384186,0,0,0,0,0,0,0,0,0,0,0,1
"8",8,"Marmosops noctivagus",2006,-76.432,-0.686,1,24.802314892844,3285.74946815839,0,0.745066273,0.091747936,0,0,0.134574426,0,0,0,0,0,0,0,0,1
"9",9,"Marmosops noctivagus",2005,-76.37499,-7.746722,1,19.0734607174189,2847.00931583895,0,0.977266481,0.004430189,0,0,0,0,0,0,0,0,0,0,0,1
"10",10,"Marmosops noctivagus",2003,-67.873333,-16.194444,1,16.8624948258263,2276.39758250547,0,0.97149001,0,0,0,0,0.004868747,0,0,0,0,0,0,0,3
"11",11,"Marmosops noctivagus",2003,-67.8675,-16.194444,1,17.0291434897751,2237.53696629258,0,0.986691087,0,0,0,0,0.005402354,0,0,0,0,0,0,0,3
"12",12,"Marmosops noctivagus",2003,-67.503056,-16.360833,1,16.3062521707816,1638.98940839924,0,0.963446688,0,0,0,0,0,0,0,0,0,0,0,0,3
"13",13,"Marmosops noctivagus",2001,-71.546231,-13.054669,1,17.9563807581292,2985.12004814773,0.015076326,0.947246538,0.007262181,0,0.012112585,0,0.006390796,0,0,0,0,0,0,0,3
"14",14,"Marmosops noctivagus",2001,-71.385467,-12.771717,1,22.7877518441066,3054.9345925071,0.081481529,0.607445378,0.027043666,0,0.250473812,0,0,0,0,0,0,0,0,0,3
"15",15,"Marmosops noctivagus",2001,-71.49185,-13.023617,1,20.5742368855752,3258.15050563339,0.048031099,0.901112266,0.022865678,0,0.033275003,0,0,0,0,0,0,0,0,0,3
"16",16,"Marmosops noctivagus",1999,-71.56875,-13.100533,1,14.8398487154117,2950.5349302686,0.022812648,0.928337279,0,0,0.013069435,0,0.014028228,0,0,0,0,0,0,0,3
"17",17,"Marmosops noctivagus",1998,-73.3406,-11.7794,1,21.1088313663938,3144.85516432774,0,0.970961276,0,0,0,0,0,0,0,0,0,0,0,0,3
"18",18,"Marmosops noctivagus",1998,-73.3258,-11.7669,1,23.5802562965834,2847.74153982115,0.138850316,0.803281711,0.021809735,0,0.025064283,0,0,0,0,0,0,0,0,0,3
