system:index,PER_2000_population,PER_2001_population,PER_2002_population,PER_2003_population,PER_2004_population,PER_2005_population,PER_2006_population,PER_2007_population,PER_2008_population,PER_2009_population,PER_2010_population,PER_2011_population,PER_2012_population,PER_2013_population,PER_2014_population,PER_2015_population,PER_2016_population,PER_2017_population,PER_2018_population,PER_2019_population,PER_2020_population,presence,row_code,scientificName,year,.geo
0000000000000000006e,0.009179620861130602,0.013546467535928183,0.01358516383550915,0.013597233918513738,0.011968980247483534,0.013019010249306174,0.011690352298319339,0.011856056103373275,0.011501523603995641,0.012021819038280085,0.011793136509025798,0.013558355481455139,0.013725906051695347,0.019034425892374092,0.015016462482219817,0.019693873333288175,0.018431771889913316,0.020734742130426802,0.020361356407988307,0.025309921092554637,0.020589406379297667,0,111,Poecilotriccus albifacies,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,0.001552024147674149,0.002740839153856916,0.004102575778961181,0.005687224475995583,0.004642956442765746,0.007065858218964993,0.007112513603094747,0.006617543187138497,0.010162333315055744,0.009497664572999758,0.01192123728859074,0.012670462826887767,0.008744457404257036,0.00955876093723026,0.007406455437269281,0.010666868941602754,0.009745673586924871,0.01079662699325412,0.011218840563121965,0.01480996970671649,0.012636689461913764,0,180,Poecilotriccus albifacies,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,0.001552024147674149,0.002740839153856916,0.004102575778961181,0.005687224475995583,0.004642956442765746,0.007065858218964993,0.007112513603094747,0.006617543187138497,0.010162333315055744,0.009497664572999758,0.01192123728859074,0.012670462826887767,0.008744457404257036,0.00955876093723026,0.007406455437269281,0.010666868941602754,0.009745673586924871,0.01079662699325412,0.011218840563121965,0.01480996970671649,0.012636689461913764,0,192,Poecilotriccus albifacies,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,0.017698337773189826,0.02706826900442441,0.0297036390167241,0.03001670827176057,0.025148519391522687,0.032746897038875844,0.02817591092019689,0.027553357812119462,0.028189152705610964,0.029801826792604784,0.03181355534230961,0.02932721089352579,0.05321305940548579,0.04282360756221939,0.018430292021994497,0.019420034014711197,0.022034215934428513,0.027710285819336475,0.025985109455445233,0.02893403370444681,0.024726305471039284,0,69,Poecilotriccus albifacies,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,0.017698337773189826,0.02706826900442441,0.0297036390167241,0.03001670827176057,0.025148519391522687,0.032746897038875844,0.02817591092019689,0.027553357812119462,0.028189152705610964,0.029801826792604784,0.03181355534230961,0.02932721089352579,0.05321305940548579,0.04282360756221939,0.018430292021994497,0.019420034014711197,0.022034215934428513,0.027710285819336475,0.025985109455445233,0.02893403370444681,0.024726305471039284,0,70,Poecilotriccus albifacies,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,0.04705568889484686,0.05711112782066943,0.06826199992906813,0.05771381294026094,0.04334487606789551,0.02828925725291757,0.030002996698021887,0.028191390524015706,0.03439248063985039,0.02522378589446638,0.027778496651672847,0.03097491326431433,0.02810950324523683,0.05011623672702733,0.03325936678870051,0.03760633922967256,0.02591523188440239,0.02778875542183717,0.035220536662667404,0.037981218961524024,0.037897868790462905,0,193,Poecilotriccus albifacies,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,0.0017171090372892863,0.0029392706011148063,0.0032748782541602854,0.007241307094912318,0.00598539489266627,0.011700311241050561,0.010536618691449073,0.009913615312646416,0.01391268273194631,0.013394543459164162,0.01518216695563466,0.018413944754238222,0.011579253944550073,0.014480233831586791,0.009970394419688805,0.010400960451978095,0.014095723877350488,0.016338283108437764,0.015970854483106554,0.02101117674918736,0.020055855525767104,0,130,Poecilotriccus albifacies,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,8.468653723670571E-4,9.527317287089924E-4,0.00103532819113895,0.0010243676114352603,0.0012799881321067612,0.0013518381950573303,0.0014697463557525885,0.0016378721829467253,0.0017329766903547389,0.0016900674764103456,0.0018129319482136008,0.0023669092915952206,0.002173542822985088,0.0022433521919975096,0.0023269512590166986,0.0022306262725489395,0.002789193511410963,0.0030321892433087614,0.003385674388275719,0.003367169545598182,0.003714568396190218,0,135,Poecilotriccus albifacies,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,0.003967631046715028,0.003963979177505654,0.004021814486523177,0.004597066169349001,0.005487632625462377,0.005974347924119701,0.005904907240148852,0.005427094039452426,0.004544463403084699,0.004525284660870538,0.004349135925226352,0.00460309720981647,0.005216021729888869,0.005770464975605993,0.005673870283598994,0.006076982379982284,0.005777496561481087,0.006378170575800479,0.0065691903470924086,0.006617673559516084,0.007259502132222348,0,179,Poecilotriccus albifacies,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,0.03029470474404447,0.03661471720711858,0.03676956430369732,0.03405073605039541,0.11417763101703979,0.04443977254570699,0.04678980537197169,0.04724976638076352,0.04312301522084311,0.04303038210845461,0.040732791260177016,0.04416335799238261,0.052773548239002044,0.07540369323071311,0.053073155149525285,0.046616831889339516,0.04107934090436674,0.04751115723275671,0.05261208138921682,0.053862613994701235,0.06662290255520859,0,186,Poecilotriccus albifacies,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
