"","scientificName","year","indicator","lon","lat"
"571","Pennatomys nivalis",2022,TRUE,-54.440584,-6.29547
"572","Pennatomys nivalis",2022,TRUE,-72.913757,2.558085
"573","Pennatomys nivalis",2022,TRUE,-72.899712,2.540663
"574","Pennatomys nivalis",2022,TRUE,-72.942641,2.45228
"580","Pennatomys nivalis",2020,TRUE,-55.66739,5.315889
"582","Pennatomys nivalis",2019,TRUE,-76.255788,-0.509671
"583","Pennatomys nivalis",2019,TRUE,-55.181667,4.949053
"585","Pennatomys nivalis",2019,TRUE,-76.76492,0.87067
"586","Pennatomys nivalis",2018,TRUE,-70.965389,0.123694
"592","Pennatomys nivalis",2018,TRUE,-74.30942,1.24839
"593","Pennatomys nivalis",2018,TRUE,-74.69475,0.30808
"594","Pennatomys nivalis",2018,TRUE,-74.61012,0.18249
"597","Pennatomys nivalis",2018,TRUE,-52.51849,3.94175
"598","Pennatomys nivalis",2017,TRUE,-75.905667,1.672639
"600","Pennatomys nivalis",2017,TRUE,-55.21643,4.93047
"602","Pennatomys nivalis",2017,TRUE,-55.18997,4.94075
"603","Pennatomys nivalis",2017,TRUE,-52.51299,4.46443
"604","Pennatomys nivalis",2017,TRUE,-52.51299,4.46443
"605","Pennatomys nivalis",2017,TRUE,-55.202358,4.931887
"606","Pennatomys nivalis",2017,TRUE,-55.202358,4.931887
"607","Pennatomys nivalis",2017,TRUE,-55.202411,4.931962
"610","Pennatomys nivalis",2016,TRUE,-73.793,2.261
"611","Pennatomys nivalis",2016,TRUE,-73.778958,2.248476
"612","Pennatomys nivalis",2016,TRUE,-73.778958,2.248476
"613","Pennatomys nivalis",2016,TRUE,-73.778958,2.248476
"614","Pennatomys nivalis",2016,TRUE,-73.778958,2.248476
"615","Pennatomys nivalis",2016,TRUE,-73.778958,2.248476
"617","Pennatomys nivalis",2015,TRUE,-53.32092,5.2731
"618","Pennatomys nivalis",2015,TRUE,-53.93268,5.46629
"619","Pennatomys nivalis",2013,TRUE,-76.708542,-1.089927
"620","Pennatomys nivalis",2013,TRUE,-52.21696,4.56776
"624","Pennatomys nivalis",2012,TRUE,-73.7197,-1.679
"625","Pennatomys nivalis",2012,TRUE,-52.51849,3.94175
"626","Pennatomys nivalis",2012,TRUE,-52.51849,3.94175
"627","Pennatomys nivalis",2012,TRUE,-52.51849,3.94175
"630","Pennatomys nivalis",2011,TRUE,-53.99302,3.72685
"631","Pennatomys nivalis",2010,TRUE,-52.7657,4.93463
"632","Pennatomys nivalis",2010,TRUE,-52.01411,3.92137
"633","Pennatomys nivalis",2010,TRUE,-53.26107,3.69234
"634","Pennatomys nivalis",2010,TRUE,-53.43138,3.73168
"635","Pennatomys nivalis",2010,TRUE,-53.2178,2.44257
"636","Pennatomys nivalis",2010,TRUE,-52.96567,4.98365
"637","Pennatomys nivalis",2010,TRUE,-52.19369,4.56617
"638","Pennatomys nivalis",2010,TRUE,-53.10277,5.41106
"639","Pennatomys nivalis",2010,TRUE,-52.13713,4.58023
"640","Pennatomys nivalis",2010,TRUE,-52.73528,4.0705
"641","Pennatomys nivalis",2010,TRUE,-53.30211,4.58764
"644","Pennatomys nivalis",2009,TRUE,-53.41397,4.59457
"650","Pennatomys nivalis",2001,TRUE,-77.4972,0.1804
"651","Pennatomys nivalis",2001,TRUE,-77.3847,0.2458
"652","Pennatomys nivalis",2001,TRUE,-58.811,3.268
"653","Pennatomys nivalis",2001,TRUE,-53.24865,4.67709
"655","Pennatomys nivalis",2000,TRUE,-75.7016,-8.4053
"660","Pennatomys nivalis",1998,TRUE,-53.31341,4.55545
"667","Pennatomys nivalis",1994,TRUE,-52.93917,5.01825
"668","Pennatomys nivalis",1993,TRUE,-59.25,3.25
"673","Pennatomys nivalis",1992,TRUE,-69.295,-12.838
"674","Pennatomys nivalis",1992,TRUE,-69.083,-13
"683","Pennatomys nivalis",1989,TRUE,-60.93,-14.55
"718","Pennatomys nivalis",1977,TRUE,-78.19333,-4.44167
"721","Pennatomys nivalis",1976,TRUE,-57.15,-1.03
"735","Pennatomys nivalis",1969,TRUE,-59.5,2.833333
"736","Pennatomys nivalis",1969,TRUE,-59.5,2.833333
"737","Pennatomys nivalis",1967,TRUE,-59.316667,2.966667
"748","Pennatomys nivalis",1957,TRUE,-73.883333,3.283333
"757","Pennatomys nivalis",1940,TRUE,-72.692767,-12.864725
"775","Pennatomys nivalis",1927,TRUE,-73.247223,-3.748056
"777","Pennatomys nivalis",1927,TRUE,-73.751831,-10.73077
"779","Pennatomys nivalis",1926,TRUE,-73.247223,-3.748056
"1728","Speothos venaticus",2022,TRUE,-66.098873,-13.761165
"1776","Speothos venaticus",2022,TRUE,-77.524912,-1.055986
"1863","Speothos venaticus",2022,TRUE,-67.596699,-14.342038
"1864","Speothos venaticus",2022,TRUE,-69.052366,-12.575623
