"","scientificName","year","indicator","lon","lat"
"506","Mionectes macconnelli",2021,TRUE,-69.11701,-12.107287
"519","Mionectes macconnelli",2021,TRUE,-69.941154,-13.034843
"561","Mionectes macconnelli",2021,TRUE,-69.48945,-12.861573
"565","Mionectes macconnelli",2021,TRUE,-69.48945,-12.861573
"568","Mionectes macconnelli",2021,TRUE,-69.48945,-12.861573
"574","Mionectes macconnelli",2021,TRUE,-69.48945,-12.861573
"576","Mionectes macconnelli",2021,TRUE,-70.722305,-12.337929
"577","Mionectes macconnelli",2021,TRUE,-70.722305,-12.337929
"587","Mionectes macconnelli",2021,TRUE,-70.722305,-12.337929
"596","Mionectes macconnelli",2021,TRUE,-69.48945,-12.861573
"670","Mionectes macconnelli",2021,TRUE,-70.722305,-12.337929
"673","Mionectes macconnelli",2021,TRUE,-70.722305,-12.337929
"710","Mionectes macconnelli",2020,TRUE,-69.48945,-12.861573
"711","Mionectes macconnelli",2020,TRUE,-69.48945,-12.861573
"713","Mionectes macconnelli",2020,TRUE,-70.722305,-12.337929
"715","Mionectes macconnelli",2020,TRUE,-70.722305,-12.337929
"717","Mionectes macconnelli",2020,TRUE,-69.48945,-12.861573
"719","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"721","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"722","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"723","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"724","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"726","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"727","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"730","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"732","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"735","Mionectes macconnelli",2020,TRUE,-69.45775,-12.850758
"743","Mionectes macconnelli",2020,TRUE,-69.48945,-12.861573
"744","Mionectes macconnelli",2020,TRUE,-69.48945,-12.861573
"804","Mionectes macconnelli",2020,TRUE,-70.722305,-12.337929
